county,code,white_pop,rank
"Monroe County, FL",12087,"68,621",683
"Hancock County, IN",18059,"68,579",684
"Island County, WA",53029,"68,488",685
"Douglas County, GA",13097,"68,460",686
"Madison County, NY",36053,"68,421",687
"Angelina County, TX",48005,"67,999",688
"Chelan County, WA",53007,"67,799",689
"Sutter County, CA",6101,"67,721",690
"Morgan County, IN",18109,"67,658",691
"Rogers County, OK",40131,"67,539",692
"Surry County, NC",37171,"66,972",693
"Shiawassee County, MI",26155,"66,636",694
"Oconee County, SC",45073,"66,486",695
"Franklin County, MA",25011,"66,473",696
"Portage, WI",55097,"66,118",697
"Armstrong County, PA",42005,"66,101",698
"Aroostook County, ME",23003,"66,055",699
"Lowndes County, GA",13185,"66,019",700
"Vermilion County, IL",17183,"65,911",701
"Harrison County, WV",54033,"65,807",702
"Van Buren County, MI",26159,"65,599",703
"Leavenworth County, KS",20103,"65,585",704
"San Juan County, NM",35045,"65,541",705
"Erie County, OH",39043,"65,526",706
"Grant County, WA",53025,"65,396",707
"Umatilla County, OR",41059,"65,277",708
"Greene County, TN",47059,"65,100",709
"Bibb County, GA",13021,"64,747",710
"Bowie County, TX",48037,"64,734",711
"Belmont County, OH",39013,"64,723",712
"Allegany County, MD",24001,"64,695",713
"Payne County, OK",40119,"64,597",714
"Clallam County, WA",53009,"64,423",715
"Hinds County, MS",28049,"64,420",716
"Hawaii County, HI",15001,"64,255",717
"Liberty County, TX",48291,"64,099",718
"Cole County, MO",29051,"63,844",719
"Lonoke County, AR",5085,"63,610",720
"Columbia County, PA",42037,"63,555",721
"Roanoke Independent City, VA",51770,"63,336",722
"Walker County, GA",13295,"63,051",723
"Marquette County, MI",26103,"62,911",724
"Wilkes County, NC",37193,"62,792",725
"Grays Harbor County, WA",53027,"62,665",726
"Isabella County, MI",26073,"62,445",727
"Warren County, NY",36113,"62,408",728
"Adams County, IL",17001,"62,268",729
"Williamson County, IL",17199,"62,148",730
"Riley County, KS",20161,"62,136",731
"Butler County, KS",20015,"62,088",732
"Sullivan County, NY",36105,"61,984",733
"Lewis and Clark County, MT",30049,"61,913",734
"DeKalb County, AL",1049,"61,858",735
"Carbon County, PA",42025,"61,831",736
"Jefferson County, OH",39081,"61,774",737
"St. Francois County, MO",29187,"61,766",738
"Grand Forks County, ND",38035,"61,670",739
"Franklin County, WA",53021,"61,659",740
"San Patricio County, TX",48409,"61,431",741
"Pulaski County, KY",21199,"61,413",742
"Lancaster County, SC",45057,"61,365",743
"Pike County, KY",21195,"61,232",744
"Catoosa County, GA",13047,"61,190",745
"Herkimer County, NY",36043,"61,095",746
"Elmore County, AL",1051,"61,018",747
"Crow Wing County, MN",27035,"60,995",748
"Carteret County, NC",37031,"60,921",749
"Ward County, ND",38101,"60,884",750
"Bastrop County, TX",48021,"60,846",751
"Wayne County, IN",18177,"60,513",752
"Grant County, IN",18053,"60,506",753
"Lea County, NM",35025,"60,375",754
"Livingston County, NY",36051,"60,301",755
"Chippewa, WI",55017,"60,255",756
"Sauk, WI",55111,"60,137",757
"Robertson County, TN",47147,"60,079",758
"Blue Earth County, MN",27013,"60,046",759
"Bradford County, PA",42015,"60,019",760
"Walker County, AL",1127,"59,932",761
"Starr County, TX",48427,"59,500",762
"Fauquier County, VA",51061,"59,339",763
"Montcalm County, MI",26117,"59,322",764
"Athens County, OH",39009,"59,238",765
"Marion County, OH",39101,"59,031",766
"Washington County, OH",39167,"58,825",767
"Wise County, TX",48497,"58,788",768
"Knox County, OH",39083,"58,773",769
"Valencia County, NM",35061,"58,741",770
"Reno County, KS",20155,"58,721",771
"Washington County, NY",36115,"58,702",772
"Lawrence County, OH",39087,"58,678",773
"Barrow County, GA",13013,"58,575",774
"Madison County, TN",47113,"58,487",775
"Ionia County, MI",26067,"58,465",776
"Lee County, MS",28081,"58,381",777
"Belknap, NH",33001,"58,320",778
"Boone County, IN",18011,"58,207",779
"Laurel County, KY",21125,"58,206",780
"Rutland County, VT",50021,"58,201",781
"Klamath County, OR",41035,"58,193",782
"Oldham County, KY",21185,"58,096",783
"Warrick County, IN",18173,"57,989",784
"Madison County, MS",28089,"57,847",785
"Hampton Independent City, VA",51650,"57,799",786
"Rice County, MN",27131,"57,784",787
"Wagoner County, OK",40145,"57,782",788
"James City County, VA",51095,"57,738",789
"Pope County, AR",5115,"57,527",790
"Otsego County, NY",36077,"57,344",791
"Maui County, HI",15009,"57,307",792
"Haywood County, NC",37087,"57,137",793
"Barry County, MI",26015,"57,126",794
"Rutherford County, NC",37161,"56,997",795
"Putnam County, FL",12107,"56,974",796
"Creek County, OK",40037,"56,645",797
"Clay County, MN",27027,"56,626",798
"Washington County, VT",50023,"56,607",799
"Tooele County, UT",49045,"56,164",800
"Cumberland County, TN",47035,"56,145",801
"Mercer County, WV",54055,"56,043",802
"Crawford County, AR",5033,"55,876",803
"St. Joseph County, MI",26149,"55,797",804
"Coos County, OR",41011,"55,775",805
"McCracken County, KY",21145,"55,748",806
"Huron County, OH",39077,"55,623",807
"Hamblen County, TN",47063,"55,598",808
"Hall County, NE",31079,"55,532",809
"Oxford County, ME",23017,"55,427",810
"Columbia County, NY",36021,"55,383",811
"Glynn County, GA",13127,"55,315",812
"Chatham County, NC",37037,"55,295",813
"Otter Tail County, MN",27111,"55,163",814
"Blount County, AL",1009,"55,073",815
"Newton County, GA",13217,"54,902",816
"Carter County, TN",47019,"54,806",817
"Putnam County, WV",54079,"54,756",818
"Jackson County, GA",13157,"54,589",819
"Genesee County, NY",36037,"54,536",820
"Tehama County, CA",6103,"54,530",821
"Pottawatomie County, OK",40125,"54,456",822
"Hawkins County, TN",47073,"54,433",823
"Coryell County, TX",48099,"54,254",824
"Sandusky County, OH",39143,"54,182",825
"Columbia, WI",55021,"54,028",826
"Broomfield County, CO",8014,"54,028",826
"Windsor County, VT",50027,"53,679",828
"Walton County, FL",12131,"53,493",829
"Newton County, MO",29145,"53,379",830
"Pickaway County, OH",39129,"53,232",831
"Yuba County, CA",6115,"53,217",832
"Marion County, WV",54049,"53,195",833
"Christian County, KY",21047,"53,122",834
"Whiteside County, IL",17195,"52,983",835
"Clayton County, GA",13063,"52,955",836
"Maverick County, TX",48323,"52,764",837
"Columbia County, FL",12023,"52,704",838
"Chaves County, NM",35005,"52,656",839
"Washington County, VA",51191,"52,516",840
"Hancock County, ME",23009,"52,462",841
"Seneca County, OH",39147,"52,412",842
"Talladega County, AL",1121,"52,390",843
"Sumter County, SC",45085,"52,297",844
"Tuscola County, MI",26157,"52,121",845
"Salem County, NJ",34033,"51,899",846
"Venango County, PA",42121,"51,796",847
"Ashland County, OH",39005,"51,722",848
"Chisago County, MN",27025,"51,690",849
"Navajo County, AZ",4017,"51,614",850
"Hood County, TX",48221,"51,552",851
"Lincoln County, MO",29113,"51,519",852
"Fulton County, NY",36035,"51,509",853
"Mason County, WA",53045,"51,497",854
"York County, VA",51199,"51,476",855
"Garfield County, OK",40047,"51,463",856
"Lynchburg Independent City, VA",51680,"51,300",857
"Hardin County, TX",48199,"51,251",858
"Stanly County, NC",37167,"51,212",859
"Eddy County, NM",35015,"51,182",860
"Walker County, TX",48471,"51,148",861
"Walla Walla County, WA",53071,"50,996",862
"Darke County, OH",39037,"50,964",863
"Lake County, CA",6033,"50,491",864
"Pike County, PA",42103,"50,416",865
"Gordon County, GA",13129,"50,346",866
"Waupaca, WI",55135,"50,292",867
"Otero County, NM",35035,"50,277",868
"Jefferson County, TN",47089,"50,259",869
"Nash County, NC",37127,"50,234",870
"Roane County, TN",47145,"50,061",871
"Franklin County, VA",51067,"50,007",872
"Grant, WI",55043,"49,966",873
"Garfield County, CO",8045,"49,860",874
"Taney County, MO",29213,"49,835",875
"Nacogdoches County, TX",48347,"49,786",876
"Somerset County, ME",23025,"49,743",877
"Union County, OH",39159,"49,639",878
"Watauga County, NC",37189,"49,587",879
"Van Zandt County, TX",48467,"49,480",880
"Acadia Parish, LA",22001,"49,287",881
"Ogle County, IL",17141,"49,110",882
"Coles County, IL",17029,"49,104",883
"Coffee County, TN",47031,"48,936",884
"Jefferson County, WV",54037,"48,881",885
"McMinn County, TN",47107,"48,845",886
"Lincoln County, SD",46083,"48,805",887
"San Benito County, CA",6069,"48,662",888
"Saline County, KS",20169,"48,578",889
"Harrison County, TX",48203,"48,547",890
"Johnson County, MO",29101,"48,456",891
"Vermilion Parish, LA",22113,"48,363",892
"Bulloch County, GA",13031,"48,299",893
"Kenai Peninsula Borough, AK",2122,"48,208",894
"Wayne County, PA",42127,"48,155",895
"Box Elder County, UT",49003,"48,153",896
"Loudon County, TN",47105,"48,125",897
"Dearborn County, IN",18029,"48,123",898
"Tipton County, TN",47167,"48,107",899
"Tioga County, NY",36107,"48,088",900
"Winona County, MN",27169,"48,034",901
"Jackson County, AL",1071,"47,949",902
"La Plata County, CO",8067,"47,916",903
"Bedford County, PA",42009,"47,729",904
"Tuolumne County, CA",6109,"47,618",905
"Chenango County, NY",36017,"47,440",906
"Grundy County, IL",17063,"47,309",907
"Jones County, MS",28067,"47,162",908
"Dickson County, TN",47043,"47,130",909
"St. Landry Parish, LA",22097,"47,063",910
"Boone County, IL",17007,"46,967",911
"Calumet, WI",55015,"46,951",912
"Eagle County, CO",8037,"46,821",913
"Jessamine County, KY",21113,"46,814",914
"Bristol County, RI",44001,"46,778",915
"Laurens County, SC",45059,"46,727",916
"Pittsylvania County, VA",51143,"46,715",917
"Warren County, IA",19181,"46,619",918
"Henry County, IN",18065,"46,578",919
"Pearl River County, MS",28109,"46,508",920
"Henry County, IL",17073,"46,507",921
"Kerr County, TX",48265,"46,452",922
"Franklin County, VT",50011,"46,321",923
"Grady County, OK",40051,"46,279",924
"Shelby County, OH",39149,"46,226",925
"Effingham County, GA",13103,"46,166",926
"Carroll, NH",33003,"46,134",927
"Columbia County, OR",41009,"46,036",928
"Noble County, IN",18113,"46,028",929
"Boyd County, KY",21019,"45,988",930
"Cortland County, NY",36023,"45,887",931
"Cass County, MI",26027,"45,880",932
"Elko County, NV",32007,"45,797",933
"Campbell County, WY",56005,"45,793",934
"Jackson County, IL",17077,"45,785",935
"Iberia Parish, LA",22045,"45,666",936
"Allegany County, NY",36003,"45,587",937
"Forrest County, MS",28035,"45,561",938
"Suffolk Independent City, VA",51800,"45,514",939
"Lamar County, MS",28073,"45,452",940
"Scott County, KY",21209,"45,334",941
"Mifflin County, PA",42087,"45,239",942
"Val Verde County, TX",48465,"45,209",943
"Kershaw County, SC",45055,"45,206",944
"Buffalo County, NE",31019,"45,169",945
"Macoupin County, IL",17117,"45,088",946
"Newaygo County, MI",26123,"45,028",947
"Clinton County, IA",19045,"45,020",948
"Campbell County, VA",51031,"44,871",949
"Knox County, IL",17095,"44,825",950
"Hillsdale County, MI",26059,"44,692",951
"Greenwood County, SC",45047,"44,642",952
"Lyon County, NV",32019,"44,516",953
"Auglaize County, OH",39011,"44,499",954
"Perry County, PA",42099,"44,455",955
"Carson City County, NV",32510,"44,416",956
"Goodhue County, MN",27049,"44,289",957
"Atascosa County, TX",48013,"44,209",958
"Lawrence County, IN",18093,"44,167",959
"Delaware County, NY",36025,"44,161",960
"Harrisonburg Independent City, VA",51660,"43,920",961
"Marshall County, IN",18099,"43,839",962
"Montgomery County, NY",36057,"43,826",963
"Queen Anne's County, MD",24035,"43,698",964
"Jefferson County, PA",42065,"43,697",965
"Iron County, UT",49021,"43,623",966
"Wilson County, TX",48493,"43,615",967
"Barron, WI",55005,"43,591",968
"Medina County, TX",48325,"43,402",969
"Stokes County, NC",37169,"43,386",970
"Colbert County, AL",1033,"43,379",971
"Monroe County, TN",47123,"43,243",972
"Pender County, NC",37141,"43,164",973
"Logan County, OH",39091,"43,113",974
"Holmes County, OH",39075,"43,096",975
"Lauderdale County, MS",28075,"43,076",976
"Greene County, NY",36039,"43,053",977
"Brown County, OH",39015,"42,800",978
"Anderson County, TX",48001,"42,632",979
"Camden County, MO",29029,"42,611",980
"Worcester County, MD",24047,"42,568",981
"Cherokee County, SC",45021,"42,546",982
"Douglas County, NV",32005,"42,448",983
"Franklin County, NC",37069,"42,412",984
"Monroe, WI",55081,"42,365",985
"Franklin County, NY",36033,"42,319",986
"Autauga County, AL",1001,"42,311",987
"Fayette County, WV",54019,"42,205",988
"Itasca County, MN",27061,"42,163",989
"Huntingdon County, PA",42061,"42,153",990
"Rusk County, TX",48401,"42,064",991
"Fremont County, CO",8043,"42,017",992
"Muskogee County, OK",40101,"41,979",993
"Greene County, AR",5055,"41,969",994
"Polk, WI",55095,"41,878",995
"Shelby County, IN",18145,"41,852",996
"Dunn, WI",55033,"41,845",997
"Gila County, AZ",4007,"41,812",998
"Burnet County, TX",48053,"41,800",999
"Hopkins County, KY",21107,"41,761",1000
"Lee County, NC",37105,"41,679",1001
"Troup County, GA",13285,"41,555",1002
"Sullivan, NH",33019,"41,511",1003
"Highland County, OH",39071,"41,440",1004
"Franklin County, KY",21073,"41,377",1005
"Windham County, VT",50025,"41,368",1006
"Wilson County, NC",37195,"41,325",1007
"Sweetwater County, WY",56037,"41,314",1008
"Calaveras County, CA",6009,"41,304",1009
"DeKalb County, IN",18033,"41,184",1010
"Lincoln County, OR",41041,"41,174",1011
"Crawford County, OH",39033,"41,167",1012
"Nelson County, KY",21179,"41,111",1013
"Branch County, MI",26023,"41,096",1014
"Cerro Gordo County, IA",19033,"41,093",1015
"Tazewell County, VA",51185,"41,090",1016
"Callaway County, MO",29027,"40,975",1017
"Henderson County, KY",21101,"40,972",1018
"Cherokee County, TX",48073,"40,972",1018
"McDowell County, NC",37111,"40,968",1020
"Susquehanna County, PA",42115,"40,887",1021
"Tioga County, PA",42117,"40,821",1022
"Phelps County, MO",29161,"40,714",1023
"Douglas, WI",55031,"40,624",1024
"Washington County, OK",40147,"40,589",1025
"Preble County, OH",39135,"40,424",1026
"Wayne County, WV",54099,"40,383",1027
"Sanilac County, MI",26151,"40,382",1028
"Lawrence County, TN",47099,"40,354",1029
"Spalding County, GA",13255,"40,309",1030
"Ohio County, WV",54069,"40,306",1031
"Mecosta County, MI",26107,"40,303",1032
"Lamar County, TX",48277,"40,272",1033
"McKean County, PA",42083,"40,254",1034
"Dubois County, IN",18037,"40,218",1035
"Jackson County, IN",18071,"40,199",1036
"Barren County, KY",21009,"40,179",1037
"Hancock County, MS",28045,"40,096",1038
"Shenandoah County, VA",51171,"40,058",1039
"Fulton County, OH",39051,"40,024",1040
"Pulaski County, MO",29169,"39,973",1041
"Stephenson County, IL",17177,"39,890",1042
"Vernon Parish, LA",22115,"39,884",1043
"Mercer County, OH",39107,"39,808",1044
"Marinette, WI",55075,"39,808",1044
"Warren County, PA",42123,"39,766",1046
"Union County, PA",42119,"39,673",1047
"Baxter County, AR",5005,"39,668",1048
"Sampson County, NC",37163,"39,660",1049
"Santa Cruz County, AZ",4023,"39,587",1050
"Clinton County, OH",39027,"39,547",1051
"Robeson County, NC",37155,"39,500",1052
"Bonner County, ID",16017,"39,482",1053
"Pierce, WI",55093,"39,465",1054
"Jim Wells County, TX",48249,"39,442",1055
"Whitman County, WA",53075,"39,433",1056
"Ravalli County, MT",30081,"39,389",1057
"Madison County, OH",39097,"39,364",1058
"Ottawa County, OH",39123,"39,281",1059
"Muscatine County, IA",19139,"39,253",1060
"Polk County, TX",48373,"39,248",1061
"Shelby County, KY",21211,"39,216",1062
"Campbell County, TN",47013,"39,145",1063
"Portsmouth Independent City, VA",51740,"39,135",1064
"Coffee County, AL",1031,"38,945",1065
"Stevens County, WA",53065,"38,901",1066
"Georgetown County, SC",45043,"38,894",1067
"Snyder County, PA",42109,"38,891",1068
"Gibson County, TN",47053,"38,877",1069
"Butler County, MO",29023,"38,864",1070
"Bedford County, TN",47003,"38,835",1071
"Camden County, GA",13039,"38,815",1072
"Wood County, TX",48499,"38,697",1073
"Howell County, MO",29091,"38,572",1074
"Bingham County, ID",16011,"38,511",1075
"Franklin County, IL",17055,"38,420",1076
"Knox County, ME",23013,"38,340",1077
"Pettis County, MO",29159,"38,333",1078
"Kittitas County, WA",53037,"38,315",1079
"Harrison County, IN",18061,"38,299",1080
"Darlington County, SC",45031,"38,291",1081
"Rockdale County, GA",13247,"38,222",1082
"Culpeper County, VA",51047,"38,196",1083
"Duplin County, NC",37061,"38,153",1084
"Habersham County, GA",13137,"38,118",1085
"Murray County, GA",13213,"38,067",1086
"Gratiot County, MI",26057,"38,051",1087
"Clinton County, PA",42035,"38,030",1088
"Montrose County, CO",8085,"37,916",1089
"Woodford County, IL",17203,"37,882",1090
"Guernsey County, OH",39059,"37,839",1091
"Henry County, VA",51089,"37,817",1092
"Waldo County, ME",23027,"37,789",1093
"Le Flore County, OK",40079,"37,781",1094
"Wyoming County, NY",36121,"37,778",1095
"Kandiyohi County, MN",27067,"37,765",1096
"Lafayette County, MS",28071,"37,679",1097
"Clarion County, PA",42031,"37,669",1098
"Orleans County, NY",36073,"37,652",1099
"LaGrange County, IN",18087,"37,605",1100
"Cheatham County, TN",47021,"37,570",1101
"Stephens County, OK",40137,"37,500",1102
"Siskiyou County, CA",6093,"37,355",1103
"Erath County, TX",48143,"37,319",1104
"Floyd County, KY",21071,"37,313",1105
"Franklin County, TN",47051,"37,283",1106
"Logan County, OK",40083,"37,114",1107
"Wise County, VA",51195,"37,110",1108
"St. Charles Parish, LA",22089,"37,063",1109
"Shawano, WI",55115,"37,041",1110
"Benton County, MN",27009,"37,032",1111
"Summit County, UT",49043,"37,016",1112
"Champaign County, OH",39021,"36,965",1113
"Dale County, AL",1045,"36,921",1114
"Warren County, TN",47177,"36,852",1115
"Davie County, NC",37059,"36,842",1116
"Isanti County, MN",27059,"36,830",1117
"Navarro County, TX",48349,"36,813",1118
"Chilton County, AL",1021,"36,740",1119
"Nye County, NV",32023,"36,636",1120
"Montgomery County, IN",18107,"36,620",1121
"Des Moines County, IA",19057,"36,446",1122
"Kendall County, TX",48259,"36,296",1123
"Lawrence County, MO",29109,"36,230",1124
"Suwannee County, FL",12121,"36,214",1125
"Crawford County, KS",20037,"36,152",1126
"Carter County, OK",40019,"36,143",1127
"Oconto, WI",55083,"36,103",1128
"Kay County, OK",40071,"36,077",1129
"Madison County, ID",16065,"36,048",1130
"Green, WI",55045,"36,034",1131
"Cooke County, TX",48097,"36,011",1132
"Boone County, AR",5009,"36,003",1133
"Mower County, MN",27099,"35,964",1134
"Nez Perce County, ID",16069,"35,950",1135
"Essex County, NY",36031,"35,933",1136
"Douglas County, MN",27041,"35,891",1137
"Knox County, IN",18083,"35,803",1138
"Marion County, IL",17121,"35,800",1139
"Latah County, ID",16057,"35,797",1140
"Granville County, NC",37077,"35,739",1141
"Williams County, OH",39171,"35,640",1142
"Curry County, NM",35009,"35,557",1143
"Clinton County, IL",17027,"35,539",1144
"Coshocton County, OH",39031,"35,539",1144
"Huntington County, IN",18069,"35,479",1146
"Webster County, MO",29225,"35,389",1147
"Putnam County, IN",18133,"35,313",1148
"Defiance County, OH",39039,"35,301",1149
"Warren County, VA",51187,"35,282",1150
"St. Martin Parish, LA",22099,"35,215",1151
"Jasper County, IA",19099,"35,174",1152
"Greenup County, KY",21089,"35,170",1153
"Brown County, SD",46013,"35,148",1154
"Columbus County, NC",37047,"35,133",1155
"Bennington County, VT",50003,"35,076",1156
"Greene County, PA",42059,"35,066",1157
"Calloway County, KY",21035,"35,037",1158
"Dodge County, NE",31053,"35,027",1159
"Perry County, OH",39127,"34,999",1160
"Addison County, VT",50001,"34,962",1161
"Levy County, FL",12075,"34,829",1162
"Brown County, TX",48049,"34,794",1163
"Whitley County, KY",21235,"34,728",1164
"Yadkin County, NC",37197,"34,612",1165
"Livingston County, IL",17105,"34,466",1166
"Jackson County, NC",37099,"34,411",1167
"Delta County, MI",26041,"34,406",1168
"McLeod County, MN",27085,"34,309",1169
"Independence County, AR",5063,"34,268",1170
"Oneida, WI",55085,"34,265",1171
"Okeechobee County, FL",12093,"34,256",1172
"Houghton County, MI",26061,"34,184",1173
"Lincoln County, NE",31111,"34,157",1174
"Scotts Bluff County, NE",31157,"34,154",1175
"Morrow County, OH",39117,"34,143",1176
"Upshur County, TX",48459,"34,122",1177
"Clatsop County, OR",41007,"34,102",1178
"Fulton County, IL",17057,"34,017",1179
"Marshall County, IA",19127,"34,008",1180
"Graves County, KY",21083,"33,979",1181
"Laclede County, MO",29105,"33,975",1182
"Albany County, WY",56001,"33,960",1183
"Logan County, WV",54045,"33,957",1184
"Webster County, IA",19187,"33,912",1185
"Jefferson County, IL",17081,"33,797",1186
"Jackson County, FL",12063,"33,766",1187
"Adams County, IN",18001,"33,743",1188
"Wharton County, TX",48481,"33,682",1189
"Sagadahoc County, ME",23023,"33,609",1190
"Beltrami County, MN",27007,"33,600",1191
"Effingham County, IL",17049,"33,551",1192
"Cocke County, TN",47029,"33,550",1193
"Greenbrier County, WV",54025,"33,533",1194
"Beaufort County, NC",37013,"33,458",1195
"Scott County, MO",29201,"33,414",1196
"Steuben County, IN",18151,"33,336",1197
"Clark, WI",55019,"33,301",1198
"Bryan County, OK",40013,"33,247",1199
"Barry County, MO",29009,"33,203",1200
"Lincoln County, ME",23015,"33,153",1201
"Clark County, KY",21049,"33,112",1202
"Steele County, MN",27147,"33,101",1203
"Chambers County, TX",48071,"33,013",1204
"Miami County, IN",18103,"33,011",1205
"Alexander County, NC",37003,"33,005",1206
"Monroe County, IL",17133,"32,907",1207
"Lee County, IA",19111,"32,906",1208
"Silver Bow County, MT",30093,"32,727",1209
"Christian County, IL",17021,"32,714",1210
"Harvey County, KS",20079,"32,534",1211
"Cass County, IN",18017,"32,533",1212
"Gloucester County, VA",51073,"32,455",1213
"Putnam County, OH",39137,"32,370",1214
"Whitley County, IN",18183,"32,300",1215
"Madison County, NE",31119,"32,300",1215
"Pittsburg County, OK",40121,"32,241",1217
"Lowndes County, MS",28087,"32,205",1218
"Sioux County, IA",19167,"32,150",1219
"Bureau County, IL",17011,"32,130",1220
"Seneca County, NY",36099,"32,104",1221
"Lenoir County, NC",37107,"32,054",1222
"Gibson County, IN",18051,"32,046",1223
"Dare County, NC",37055,"32,040",1224
"Amador County, CA",6005,"32,039",1225
"Wapello County, IA",19179,"32,003",1226
"Jasper County, IN",18073,"32,002",1227
"Charlottesville Independent City, VA",51540,"32,001",1228
"Greene County, IN",18055,"31,981",1229
"Uintah County, UT",49047,"31,973",1230
"St. Mary Parish, LA",22101,"31,942",1231
"Morrison County, MN",27097,"31,929",1232
"Covington County, AL",1039,"31,881",1233
"Marion County, IA",19125,"31,849",1234
"Jackson County, OH",39079,"31,754",1235
"Carlton County, MN",27017,"31,710",1236
"Morgan County, IL",17137,"31,708",1237
"Polk County, GA",13233,"31,671",1238
"Pulaski County, VA",51155,"31,666",1239
"Preston County, WV",54077,"31,634",1240
"Alcorn County, MS",28003,"31,596",1241
"Waller County, TX",48473,"31,581",1242
"Wexford County, MI",26165,"31,552",1243
"Cowley County, KS",20035,"31,538",1244
"Lee County, IL",17103,"31,520",1245
"Marshall County, WV",54051,"31,505",1246
"Macon County, NC",37113,"31,469",1247
"Osage County, OK",40113,"31,467",1248
"St. Bernard Parish, LA",22087,"31,388",1249
"Miami County, KS",20121,"31,370",1250
"Platte County, NE",31141,"31,340",1251
"Dyer County, TN",47045,"31,305",1252
"Warren County, MO",29219,"31,302",1253
"McClain County, OK",40087,"31,289",1254
"Talbot County, MD",24041,"31,262",1255
"Oconee County, GA",13219,"31,250",1256
"Huron County, MI",26063,"31,183",1257
"Daviess County, IN",18027,"31,171",1258
"Botetourt County, VA",51023,"31,160",1259
"Washington Parish, LA",22117,"31,155",1260
"Miller County, AR",5091,"31,082",1261
"Hill County, TX",48217,"31,058",1262
"Coos, NH",33007,"31,047",1263
"Nicollet County, MN",27103,"31,025",1264
"Brookings County, SD",46011,"31,025",1264
"Lafayette County, MO",29107,"30,905",1266
"Okanogan County, WA",53047,"30,875",1267
"Knox County, KY",21121,"30,820",1268
"Rhea County, TN",47143,"30,807",1269
"Wabash County, IN",18169,"30,763",1270
"Jefferson County, IN",18077,"30,751",1271
"Orangeburg County, SC",45075,"30,746",1272
"Ford County, KS",20057,"30,690",1273
"Colquitt County, GA",13071,"30,679",1274
"Emmet County, MI",26047,"30,628",1275
"Marshall County, KY",21157,"30,588",1276
"Clinton County, IN",18023,"30,571",1277
"Claiborne County, TN",47025,"30,556",1278
"Hardin County, OH",39065,"30,512",1279
"Elk County, PA",42047,"30,499",1280
"Caldwell County, TX",48055,"30,425",1281
"Russell County, AL",1113,"30,392",1282
"Schoharie County, NY",36095,"30,322",1283
"Weakley County, TN",47183,"30,238",1284
"Smyth County, VA",51173,"30,207",1285
"Hopkins County, TX",48223,"30,171",1286
"Howard County, TX",48227,"30,134",1287
"Stone County, MO",29209,"30,109",1288
"Beauregard Parish, LA",22011,"30,060",1289
"Lincoln County, TN",47103,"29,995",1290
"Liberty County, GA",13179,"29,913",1291
"Fremont County, WY",56013,"29,893",1292
"Transylvania County, NC",37175,"29,879",1293
"Polk County, MO",29167,"29,793",1294
"Caledonia County, VT",50005,"29,773",1295
"Hale County, TX",48189,"29,772",1296
"Fannin County, TX",48147,"29,734",1297
"Lincoln County, OK",40081,"29,696",1298
"Jefferson County, AR",5069,"29,613",1299
"Vernon, WI",55123,"29,612",1300
"Graham County, AZ",4009,"29,600",1301
"Lyon County, KS",20111,"29,539",1302
"Clare County, MI",26035,"29,520",1303
"Adams County, NE",31001,"29,440",1304
"Lumpkin County, GA",13187,"29,407",1305
"Polk County, MN",27119,"29,368",1306
"Becker County, MN",27005,"29,299",1307
"Franklin County, ME",23007,"29,281",1308
"Hendry County, FL",12051,"29,226",1309
"Chesterfield County, SC",45025,"29,214",1310
"Washington County, ME",23029,"29,167",1311
"Freeborn County, MN",27047,"29,129",1312
"Laurens County, GA",13175,"29,096",1313
"DeSoto County, FL",12027,"29,041",1314
"Coffee County, GA",13069,"28,964",1315
"Carroll County, VA",51035,"28,961",1316
"Stoddard County, MO",29207,"28,952",1317
"Henry County, TN",47079,"28,946",1318
"Douglas County, WA",53017,"28,917",1319
"Muhlenberg County, KY",21177,"28,875",1320
"Montgomery County, KS",20125,"28,863",1321
"Garrett County, MD",24023,"28,842",1322
"Orange County, VA",51137,"28,791",1323
"Gallia County, OH",39053,"28,790",1324
"Tallapoosa County, AL",1123,"28,778",1325
"Randolph County, IL",17157,"28,765",1326
"Richmond County, NC",37153,"28,756",1327
"Pickens County, GA",13227,"28,732",1328
"Hot Spring County, AR",5059,"28,677",1329
"McDonough County, IL",17109,"28,665",1330
"Hancock County, WV",54029,"28,654",1331
"Manassas Independent City, VA",51683,"28,650",1332
"Oktibbeha County, MS",28105,"28,642",1333
"Jackson County, WV",54035,"28,517",1334
"Delta County, CO",8029,"28,515",1335
"Randolph County, WV",54083,"28,345",1336
"Marion County, AL",1093,"28,242",1337
"Bee County, TX",48025,"28,220",1338
"Sheridan County, WY",56033,"28,209",1339
"Marshall County, TN",47117,"28,207",1340
"Matagorda County, TX",48321,"28,199",1341
"Franklin County, AL",1059,"28,133",1342
"Finney County, KS",20055,"28,064",1343
"Jasper County, TX",48241,"28,058",1344
"Alpena County, MI",26007,"28,013",1345
"Hocking County, OH",39073,"27,943",1346
"Orange County, VT",50017,"27,912",1347
"Williams County, ND",38105,"27,732",1348
"Ripley County, IN",18137,"27,716",1349
"Wythe County, VA",51197,"27,709",1350
"Ellis County, KS",20051,"27,621",1351
"McPherson County, KS",20113,"27,620",1352
"Mayes County, OK",40097,"27,614",1353
"Jefferson County, WA",53031,"27,602",1354
"Avoyelles Parish, LA",22009,"27,595",1355
"Morton County, ND",38059,"27,565",1356
"Stark County, ND",38089,"27,560",1357
"Trempealeau, WI",55121,"27,543",1358
"Kleberg County, TX",48273,"27,520",1359
