county,code,white_pop,rank
"Camden County, NJ",34007,"321,999",156
"Passaic County, NJ",34031,"321,733",157
"Butler County, OH",39017,"320,711",158
"Pinal County, AZ",4021,"317,989",159
"Lane County, OR",41039,"317,641",160
"Lucas County, OH",39095,"316,376",161
"Union County, NJ",34039,"315,833",162
"Nueces County, TX",48355,"310,741",163
"Genesee County, MI",26049,"309,146",164
"Placer County, CA",6061,"308,414",165
"Collier County, FL",12021,"306,114",166
"Virginia Beach Independent City, VA",51810,"304,213",167
"Lake County, IN",18089,"302,867",168
"Manatee County, FL",12081,"302,459",169
"Monterey County, CA",6053,"300,610",170
"Larimer County, CO",8069,"296,021",171
"Bronx County, NY",36005,"295,351",172
"Davis County, UT",49011,"294,509",173
"Anoka County, MN",27003,"291,633",174
"Allen County, IN",18003,"290,987",175
"Guilford County, NC",37081,"288,612",176
"Rockingham, NH",33015,"285,903",177
"Luzerne County, PA",42079,"285,749",178
"Douglas County, CO",8035,"283,589",179
"McHenry County, IL",17111,"283,564",180
"Lehigh County, PA",42077,"282,360",181
"Orange County, NY",36071,"281,602",182
"Marion County, FL",12083,"278,342",183
"Boulder County, CO",8013,"278,048",184
"Jefferson Parish, LA",22051,"277,542",185
"Prince William County, VA",51153,"268,015",186
"Marion County, OR",41047,"267,594",187
"District of Columbia, DC",11001,"266,035",188
"Cumberland County, ME",23005,"265,918",189
"Hamilton County, IN",18057,"265,639",190
"Lake County, FL",12069,"265,082",191
"Washtenaw County, MI",26161,"264,906",192
"Hamilton County, TN",47065,"264,700",193
"Lancaster County, NE",31109,"262,334",194
"Lorain County, OH",39093,"259,775",195
"Northampton County, PA",42095,"259,549",196
"Greene County, MO",29077,"259,031",197
"Charleston County, SC",45019,"256,797",198
"Webb County, TX",48479,"252,215",199
"DeKalb County, GA",13089,"252,162",200
"Brazoria County, TX",48039,"251,028",201
"Ottawa County, MI",26139,"249,851",202
"Mobile County, AL",1097,"246,794",203
"Galveston County, TX",48167,"245,054",204
"Loudoun County, VA",51107,"244,078",205
"Erie County, PA",42049,"243,823",206
"Weld County, CO",8123,"243,393",207
"Horry County, SC",45051,"243,113",208
