county,code,per_cap_income,rank
"Highland County, OH",39071,"$32,541 ",2543
"Burke County, NC",37023,"$32,538 ",2544
"Bradley County, AR",5011,"$32,521 ",2545
"Bertie County, NC",37015,"$32,516 ",2546
"Spalding County, GA",13255,"$32,512 ",2547
"Caldwell County, NC",37027,"$32,508 ",2548
"Hudspeth County, TX",48229,"$32,506 ",2549
"Avery County, NC",37011,"$32,500 ",2550
"Hancock County, MS",28045,"$32,487 ",2551
"Warren County, GA",13301,"$32,477 ",2552
"Kalkaska County, MI",26079,"$32,456 ",2553
"Falls County, TX",48145,"$32,442 ",2554
"Duchesne County, UT",49013,"$32,430 ",2555
"Geneva County, AL",1061,"$32,418 ",2556
"Wakulla County, FL",12129,"$32,414 ",2557
"Cherokee County, TX",48073,"$32,404 ",2558
"Coryell County, TX",48099,"$32,376 ",2559
"Miami County, IN",18103,"$32,343 ",2560
"Covington County, AL",1039,"$32,340 ",2561
"Wilkinson County, GA",13319,"$32,319 ",2562
"Yancey County, NC",37199,"$32,318 ",2563
"Delta County, CO",8029,"$32,318 ",2563
"Sabine Parish, LA",22085,"$32,313 ",2565
"Costilla County, CO",8023,"$32,313 ",2565
"Latimer County, OK",40077,"$32,302 ",2567
"Haralson County, GA",13143,"$32,295 ",2568
"Putnam County, MO",29171,"$32,281 ",2569
"Breckinridge County, KY",21027,"$32,269 ",2570
"Idaho County, ID",16049,"$32,263 ",2571
"Hart County, KY",21099,"$32,262 ",2572
"Greene County, AL",1063,"$32,245 ",2573
"Gordon County, GA",13129,"$32,234 ",2574
"Crawford County, GA",13079,"$32,227 ",2575
"Evans County, GA",13109,"$32,219 ",2576
"Monroe County, AL",1099,"$32,219 ",2576
"Towns County, GA",13281,"$32,214 ",2578
"Clare County, MI",26035,"$32,204 ",2579
"Franklin County, AL",1059,"$32,203 ",2580
"Osage County, OK",40113,"$32,184 ",2581
"Athens County, OH",39009,"$32,183 ",2582
"Talladega County, AL",1121,"$32,172 ",2583
"Clark County, AR",5019,"$32,165 ",2584
"Russell County, VA",51167,"$32,163 ",2585
"Randolph County, AL",1111,"$32,160 ",2586
"Barry County, MO",29009,"$32,158 ",2587
"Mississippi County, AR",5093,"$32,145 ",2588
"Northampton County, NC",37131,"$32,143 ",2589
"Clay County, GA",13061,"$32,140 ",2590
"Fannin County, GA",13111,"$32,139 ",2591
"Miller County, AR",5091,"$32,138 ",2592
"Highlands County, FL",12055,"$32,135 ",2593
"Guadalupe County, NM",35019,"$32,121 ",2594
"Owyhee County, ID",16073,"$32,118 ",2595
"Lawrence County, AR",5075,"$32,104 ",2596
"Polk County, TN",47139,"$32,101 ",2597
"Mitchell County, NC",37121,"$32,095 ",2598
"McIntosh County, OK",40091,"$32,093 ",2599
"Meriwether County, GA",13199,"$32,091 ",2600
"Teton County, ID",16081,"$32,088 ",2601
"Clinch County, GA",13065,"$32,087 ",2602
"Oneida County, ID",16071,"$32,085 ",2603
"Millard County, UT",49027,"$32,080 ",2604
"Dunklin County, MO",29069,"$32,078 ",2605
"Campbell County, TN",47013,"$32,077 ",2606
"Vernon County, MO",29217,"$32,067 ",2607
"Hale County, TX",48189,"$32,061 ",2608
"Claiborne County, TN",47025,"$32,048 ",2609
"Chilton County, AL",1021,"$32,041 ",2610
"Hawkins County, TN",47073,"$32,030 ",2611
"Johnson County, TN",47091,"$32,024 ",2612
"Fremont County, CO",8043,"$32,016 ",2613
"Caswell County, NC",37033,"$32,011 ",2614
"Harnett County, NC",37085,"$32,010 ",2615
"Wayne County, MS",28153,"$32,000 ",2616
"Laurens County, SC",45059,"$32,000 ",2616
"Winston County, MS",28159,"$31,985 ",2618
"Montcalm County, MI",26117,"$31,981 ",2619
"Carter County, TN",47019,"$31,973 ",2620
"Starke County, IN",18149,"$31,967 ",2621
"Butler County, KY",21031,"$31,967 ",2621
"Dickens County, TX",48125,"$31,954 ",2623
"Union County, MS",28145,"$31,953 ",2624
"Alexander County, IL",17003,"$31,951 ",2625
"Hardin County, OH",39065,"$31,940 ",2626
"Choctaw County, AL",1023,"$31,926 ",2627
"Chambers County, AL",1017,"$31,925 ",2628
"Noxubee County, MS",28103,"$31,918 ",2629
"Cleburne County, AL",1029,"$31,917 ",2630
"Copiah County, MS",28029,"$31,914 ",2631
"Bryan County, OK",40013,"$31,902 ",2632
"Missaukee County, MI",26113,"$31,896 ",2633
"Ritchie County, WV",54085,"$31,893 ",2634
"Glacier County, MT",30035,"$31,869 ",2635
"Lawrence County, TN",47099,"$31,868 ",2636
"Pecos County, TX",48371,"$31,851 ",2637
"Iron County, MO",29093,"$31,847 ",2638
"Duplin County, NC",37061,"$31,844 ",2639
"Monroe County, KY",21171,"$31,833 ",2640
"Gilchrist County, FL",12041,"$31,808 ",2641
"Houston County, TN",47083,"$31,806 ",2642
"Barbour County, AL",1005,"$31,788 ",2643
"Lewis County, MO",29111,"$31,787 ",2644
"Okmulgee County, OK",40111,"$31,787 ",2644
"Kiowa County, OK",40075,"$31,786 ",2646
"La Paz County, AZ",4012,"$31,781 ",2647
"Dallas County, AR",5039,"$31,779 ",2648
"Jefferson County, MS",28063,"$31,772 ",2649
"Worth County, GA",13321,"$31,758 ",2650
"White County, TN",47185,"$31,752 ",2651
"Newton County, MS",28101,"$31,742 ",2652
"Johnson County, KY",21115,"$31,741 ",2653
"Calhoun County, AR",5013,"$31,737 ",2654
"Johnston County, OK",40069,"$31,731 ",2655
"Hampshire County, WV",54027,"$31,730 ",2656
"St. Clair County, MO",29185,"$31,720 ",2657
"Patrick County, VA",51141,"$31,682 ",2658
"Buchanan County, VA",51027,"$31,677 ",2659
"Humphreys County, MS",28053,"$31,669 ",2660
"Smith County, MS",28129,"$31,667 ",2661
"Franklin County, MS",28037,"$31,623 ",2662
"Ohio County, KY",21183,"$31,588 ",2663
"Macon County, AL",1087,"$31,579 ",2664
"Washington Parish, LA",22117,"$31,578 ",2665
"Orangeburg County, SC",45075,"$31,575 ",2666
"San Jacinto County, TX",48407,"$31,569 ",2667
"Ogemaw County, MI",26129,"$31,566 ",2668
"Itawamba County, MS",28057,"$31,565 ",2669
"Lyon County, KY",21143,"$31,560 ",2670
"Dent County, MO",29065,"$31,556 ",2671
"Grayson County, VA",51077,"$31,556 ",2671
"Grayson County, KY",21085,"$31,540 ",2673
"Monroe County, TN",47123,"$31,512 ",2674
"Fulton County, KY",21075,"$31,501 ",2675
"Sequoyah County, OK",40135,"$31,490 ",2676
"Phillips County, AR",5107,"$31,486 ",2677
"Gadsden County, FL",12039,"$31,480 ",2678
"McDowell County, NC",37111,"$31,479 ",2679
"Blount County, AL",1009,"$31,470 ",2680
"Ionia County, MI",26067,"$31,467 ",2681
"Bamberg County, SC",45009,"$31,457 ",2682
"Tyler County, TX",48457,"$31,439 ",2683
"Clay County, TN",47027,"$31,434 ",2684
"Caldwell County, TX",48055,"$31,429 ",2685
"George County, MS",28039,"$31,425 ",2686
"Howell County, MO",29091,"$31,423 ",2687
"Ware County, GA",13299,"$31,418 ",2688
"Madison County, AR",5087,"$31,416 ",2689
"Oktibbeha County, MS",28105,"$31,408 ",2690
"Sharkey County, MS",28125,"$31,404 ",2691
"Lawrence County, MS",28077,"$31,403 ",2692
"Wayne County, UT",49055,"$31,401 ",2693
"Abbeville County, SC",45001,"$31,374 ",2694
"Sharp County, AR",5135,"$31,357 ",2695
"White County, GA",13311,"$31,355 ",2696
"Valencia County, NM",35061,"$31,349 ",2697
"Lincoln County, CO",8073,"$31,348 ",2698
"Newton County, GA",13217,"$31,347 ",2699
"Howard County, AR",5061,"$31,346 ",2700
"Carroll County, AR",5015,"$31,339 ",2701
"Nicholas County, KY",21181,"$31,326 ",2702
"Nicholas County, WV",54067,"$31,296 ",2704
"Fayette County, AL",1057,"$31,296 ",2704
"Jefferson County, ID",16051,"$31,276 ",2706
"Wayne County, GA",13305,"$31,272 ",2707
"Seminole County, OK",40133,"$31,272 ",2707
"Randolph County, AR",5121,"$31,265 ",2709
"Lunenburg County, VA",51111,"$31,256 ",2710
"Franklin Parish, LA",22041,"$31,253 ",2711
"Greensville County, VA",51081,"$31,247 ",2712
"Lawrence County, AL",1079,"$31,245 ",2713
"Alcorn County, MS",28003,"$31,240 ",2714
"Scott County, VA",51169,"$31,208 ",2715
"Chouteau County, MT",30015,"$31,202 ",2716
"Concordia Parish, LA",22029,"$31,200 ",2717
"Cumberland County, KY",21057,"$31,197 ",2718
"Columbus County, NC",37047,"$31,192 ",2719
"Dade County, GA",13083,"$31,181 ",2720
"Vinton County, OH",39163,"$31,177 ",2721
"Escambia County, AL",1053,"$31,174 ",2722
"Baraga County, MI",26013,"$31,150 ",2723
"Washita County, OK",40149,"$31,150 ",2723
"Gilmer County, GA",13123,"$31,148 ",2725
"Appling County, GA",13001,"$31,144 ",2726
"New Madrid County, MO",29143,"$31,128 ",2727
"Crawford County, MI",26039,"$31,120 ",2728
"Dade County, MO",29057,"$31,117 ",2729
"Chester County, SC",45023,"$31,096 ",2730
"Taylor County, GA",13269,"$31,068 ",2731
"Clarke County, GA",13059,"$31,065 ",2732
"Grant Parish, LA",22043,"$31,045 ",2733
"Scotland County, NC",37165,"$31,041 ",2734
"Le Flore County, OK",40079,"$31,029 ",2735
"Boone County, WV",54005,"$31,026 ",2736
"Madison County, NC",37115,"$31,022 ",2737
"Gulf County, FL",12045,"$30,980 ",2738
"Panola County, MS",28107,"$30,973 ",2739
"Lamar County, AL",1075,"$30,954 ",2740
"Mississippi County, MO",29133,"$30,949 ",2741
"Butts County, GA",13035,"$30,948 ",2742
"Tippah County, MS",28139,"$30,914 ",2743
"Carter County, MO",29035,"$30,908 ",2744
"Lawrence County, MO",29109,"$30,906 ",2745
"Sumter County, GA",13261,"$30,905 ",2746
"Cedar County, MO",29039,"$30,893 ",2747
"Roane County, WV",54087,"$30,881 ",2748
"Marshall County, MS",28093,"$30,861 ",2749
"Hughes County, OK",40063,"$30,857 ",2750
"Yalobusha County, MS",28161,"$30,850 ",2751
"Sumter County, AL",1119,"$30,845 ",2752
"Hertford County, NC",37091,"$30,823 ",2753
"Union County, SC",45087,"$30,812 ",2754
"Mitchell County, TX",48335,"$30,812 ",2754
"Delaware County, OK",40041,"$30,806 ",2756
"Miller County, MO",29131,"$30,794 ",2757
"Upshur County, WV",54097,"$30,790 ",2758
"Covington County, MS",28031,"$30,788 ",2759
"Chesterfield County, SC",45025,"$30,783 ",2760
"Calhoun County, MS",28013,"$30,782 ",2761
"Choctaw County, OK",40023,"$30,767 ",2762
"Pershing County, NV",32027,"$30,763 ",2763
"Pontotoc County, MS",28115,"$30,762 ",2764
"Luna County, NM",35029,"$30,751 ",2765
"Walker County, GA",13295,"$30,715 ",2766
"Meigs County, TN",47121,"$30,712 ",2767
"St. Francois County, MO",29187,"$30,703 ",2768
"Bleckley County, GA",13023,"$30,672 ",2769
"Russell County, KY",21207,"$30,672 ",2769
"Muhlenberg County, KY",21177,"$30,656 ",2771
"Osceola County, FL",12097,"$30,655 ",2772
"Boundary County, ID",16021,"$30,653 ",2773
"Lamar County, GA",13171,"$30,651 ",2774
"Sevier County, UT",49041,"$30,644 ",2775
"Newton County, TX",48351,"$30,643 ",2776
"Jackson County, FL",12063,"$30,632 ",2777
"Dolores County, CO",8033,"$30,593 ",2778
"Nodaway County, MO",29147,"$30,591 ",2779
"Lewis County, TN",47101,"$30,567 ",2780
"Motley County, TX",48345,"$30,558 ",2781
"Crawford County, AR",5033,"$30,558 ",2781
"Marion County, MS",28091,"$30,541 ",2783
"Grainger County, TN",47057,"$30,538 ",2784
"Fayette County, IL",17051,"$30,531 ",2785
"Polk County, MO",29167,"$30,526 ",2786
"Adams County, OH",39001,"$30,515 ",2787
"Wyandotte County, KS",20209,"$30,508 ",2788
"Allendale County, SC",45005,"$30,507 ",2789
"Colquitt County, GA",13071,"$30,506 ",2790
"Chester County, TN",47023,"$30,506 ",2790
"Jefferson Davis County, MS",28065,"$30,498 ",2792
"Alger County, MI",26003,"$30,483 ",2793
"Meigs County, OH",39105,"$30,472 ",2794
"Yell County, AR",5149,"$30,471 ",2795
"Bollinger County, MO",29017,"$30,458 ",2796
"Lake County, MI",26085,"$30,452 ",2797
"Powell County, KY",21197,"$30,451 ",2798
"Mecosta County, MI",26107,"$30,441 ",2799
"Choctaw County, MS",28019,"$30,430 ",2800
"Washington County, GA",13303,"$30,424 ",2801
"Allen Parish, LA",22003,"$30,411 ",2802
"Bent County, CO",8011,"$30,411 ",2802
"Clay County, NC",37043,"$30,408 ",2804
"Macon County, TN",47111,"$30,401 ",2805
"Pike County, AR",5109,"$30,388 ",2806
"Pushmataha County, OK",40127,"$30,380 ",2807
"Baldwin County, GA",13009,"$30,367 ",2808
"McCurtain County, OK",40089,"$30,366 ",2809
"Atoka County, OK",40005,"$30,357 ",2810
"Conecuh County, AL",1035,"$30,349 ",2811
"Amite County, MS",28005,"$30,347 ",2812
"Attala County, MS",28007,"$30,347 ",2812
"Pope County, IL",17151,"$30,338 ",2814
"Habersham County, GA",13137,"$30,330 ",2815
"Poinsett County, AR",5111,"$30,326 ",2816
"Emery County, UT",49015,"$30,316 ",2817
"Mason County, WV",54053,"$30,307 ",2818
"Wayne County, WV",54099,"$30,296 ",2819
"Haywood County, TN",47075,"$30,274 ",2820
"Estill County, KY",21065,"$30,264 ",2821
"Fayette County, WV",54019,"$30,239 ",2822
"Grady County, GA",13131,"$30,230 ",2823
"Russell County, AL",1113,"$30,214 ",2824
"Overton County, TN",47133,"$30,197 ",2825
"Stone County, MS",28131,"$30,195 ",2826
"St. Bernard Parish, LA",22087,"$30,179 ",2827
"Adair County, MO",29001,"$30,177 ",2828
"Pike County, MS",28113,"$30,169 ",2829
"Bacon County, GA",13005,"$30,164 ",2830
"Prince Edward County, VA",51147,"$30,149 ",2831
"Webster County, MO",29225,"$30,114 ",2832
"Madison County, TX",48313,"$30,114 ",2832
"Reeves County, TX",48389,"$30,106 ",2834
"Real County, TX",48385,"$30,105 ",2835
"Perry County, AL",1105,"$30,099 ",2836
"Hickman County, TN",47081,"$30,069 ",2837
"Morgan County, OH",39115,"$30,061 ",2838
"Claiborne County, MS",28021,"$30,058 ",2839
"Mohave County, AZ",4015,"$30,045 ",2840
"Rutherford County, NC",37161,"$30,036 ",2841
"Cherokee County, SC",45021,"$30,026 ",2842
"Randolph County, GA",13243,"$30,007 ",2843
"McNairy County, TN",47109,"$30,003 ",2844
"Polk County, GA",13233,"$30,002 ",2845
"Mercer County, MO",29129,"$29,994 ",2846
"Carter County, KY",21043,"$29,984 ",2847
"Cocke County, TN",47029,"$29,976 ",2848
"Pickens County, AL",1107,"$29,966 ",2849
"Dallas County, MO",29059,"$29,949 ",2850
"Suwannee County, FL",12121,"$29,944 ",2851
"Hot Spring County, AR",5059,"$29,937 ",2852
"Hempstead County, AR",5057,"$29,930 ",2853
"Monroe County, OH",39111,"$29,925 ",2854
"Franklin County, AR",5047,"$29,923 ",2855
"Marion County, AR",5089,"$29,903 ",2856
"Allen County, KY",21003,"$29,902 ",2857
"Garrard County, KY",21079,"$29,897 ",2858
"Catahoula Parish, LA",22025,"$29,888 ",2859
"Van Buren County, AR",5141,"$29,876 ",2860
"Leslie County, KY",21131,"$29,820 ",2861
"Glascock County, GA",13125,"$29,809 ",2862
"Edmonson County, KY",21061,"$29,784 ",2863
"Taylor County, FL",12123,"$29,775 ",2864
"Wilkes County, GA",13317,"$29,758 ",2865
"Coffee County, GA",13069,"$29,745 ",2866
"Bulloch County, GA",13031,"$29,737 ",2867
"Apache County, AZ",4001,"$29,737 ",2867
"Letcher County, KY",21133,"$29,724 ",2869
"Malheur County, OR",41045,"$29,714 ",2870
"Jones County, TX",48253,"$29,703 ",2871
"Lincoln County, NV",32017,"$29,698 ",2872
"Greene County, NC",37079,"$29,697 ",2873
"Graham County, AZ",4009,"$29,689 ",2874
"Fentress County, TN",47049,"$29,676 ",2875
"Noble County, OH",39121,"$29,673 ",2876
"West Carroll Parish, LA",22123,"$29,650 ",2877
"Tishomingo County, MS",28141,"$29,635 ",2878
"DeKalb County, AL",1049,"$29,610 ",2879
"Cherokee County, OK",40021,"$29,609 ",2880
"Caddo County, OK",40015,"$29,591 ",2881
"Robertson County, KY",21201,"$29,580 ",2882
"Luce County, MI",26095,"$29,579 ",2883
"Madison County, FL",12079,"$29,557 ",2884
"Izard County, AR",5065,"$29,557 ",2884
"Hendry County, FL",12051,"$29,556 ",2886
"Somerset County, MD",24039,"$29,551 ",2887
"Graham County, NC",37075,"$29,540 ",2888
"Big Horn County, MT",30003,"$29,532 ",2889
"Gallatin County, KY",21077,"$29,515 ",2890
"Prentiss County, MS",28117,"$29,515 ",2890
"Cherokee County, NC",37039,"$29,512 ",2892
"Wise County, VA",51195,"$29,502 ",2893
"Breathitt County, KY",21025,"$29,488 ",2894
"Childress County, TX",48075,"$29,459 ",2895
"Lee County, KY",21129,"$29,449 ",2896
"Tyrrell County, NC",37177,"$29,449 ",2896
"Scott County, MS",28123,"$29,439 ",2898
"Sussex County, VA",51183,"$29,439 ",2898
"Webb County, TX",48479,"$29,426 ",2900
"Navajo County, AZ",4017,"$29,408 ",2901
"Madison Parish, LA",22065,"$29,396 ",2902
"Perry County, TN",47135,"$29,390 ",2903
"Kinney County, TX",48271,"$29,350 ",2904
"Scott County, AR",5127,"$29,343 ",2905
"Barbour County, WV",54001,"$29,329 ",2906
"Marion County, SC",45067,"$29,319 ",2907
"Canyon County, ID",16027,"$29,305 ",2908
"Union County, TN",47173,"$29,283 ",2909
"Coosa County, AL",1037,"$29,276 ",2910
"Grundy County, TN",47061,"$29,275 ",2911
"Marion County, AL",1093,"$29,273 ",2912
"Bibb County, AL",1007,"$29,264 ",2913
"Uintah County, UT",49047,"$29,251 ",2914
"Tattnall County, GA",13267,"$29,215 ",2915
"Hoke County, NC",37093,"$29,215 ",2915
"Warren County, NC",37185,"$29,190 ",2917
"Putnam County, FL",12107,"$29,182 ",2918
"Sunflower County, MS",28133,"$29,181 ",2919
"Torrance County, NM",35057,"$29,158 ",2920
"Macon County, GA",13193,"$29,136 ",2921
"Berrien County, GA",13019,"$29,118 ",2922
"Okeechobee County, FL",12093,"$29,106 ",2923
"Lincoln County, KY",21137,"$29,104 ",2924
"Ripley County, MO",29181,"$29,089 ",2925
"Switzerland County, IN",18155,"$29,081 ",2926
"Fleming County, KY",21069,"$29,076 ",2927
"Quitman County, MS",28119,"$28,993 ",2928
"Wirt County, WV",54105,"$28,956 ",2929
"Bell County, KY",21013,"$28,923 ",2930
"Metcalfe County, KY",21169,"$28,884 ",2931
"Tallahatchie County, MS",28135,"$28,869 ",2932
"Rockcastle County, KY",21203,"$28,868 ",2933
"Chattooga County, GA",13055,"$28,840 ",2934
"Rowan County, KY",21205,"$28,775 ",2935
"Menifee County, KY",21165,"$28,753 ",2936
"Williamsburg County, SC",45089,"$28,725 ",2937
"Lawrence County, KY",21127,"$28,723 ",2938
"Hampton County, SC",45049,"$28,723 ",2938
"Baker County, FL",12003,"$28,716 ",2940
"Emanuel County, GA",13107,"$28,687 ",2941
"Polk County, AR",5113,"$28,672 ",2942
"Blaine County, MT",30005,"$28,671 ",2943
"Jeff Davis County, GA",13161,"$28,602 ",2944
"Yazoo County, MS",28163,"$28,566 ",2945
"Holmes County, MS",28051,"$28,554 ",2946
"Wilcox County, AL",1131,"$28,553 ",2947
"Braxton County, WV",54007,"$28,548 ",2948
"Bradford County, FL",12007,"$28,508 ",2949
"Clay County, WV",54015,"$28,506 ",2950
"Hardy County, WV",54031,"$28,475 ",2951
"Barnwell County, SC",45011,"$28,457 ",2952
"Lewis County, KY",21135,"$28,410 ",2953
"Monroe County, WV",54063,"$28,409 ",2954
"Screven County, GA",13251,"$28,408 ",2955
"Heard County, GA",13149,"$28,406 ",2956
"Okfuskee County, OK",40107,"$28,405 ",2957
"Perry County, MS",28111,"$28,397 ",2958
"Reynolds County, MO",29179,"$28,371 ",2959
"Crisp County, GA",13081,"$28,315 ",2960
"Dodge County, GA",13091,"$28,313 ",2961
"Hardeman County, TN",47069,"$28,296 ",2962
"Summers County, WV",54089,"$28,278 ",2963
"Jackson County, TN",47087,"$28,273 ",2964
"Benton County, MS",28009,"$28,215 ",2965
"Brown County, IL",17009,"$28,195 ",2966
"Candler County, GA",13043,"$28,191 ",2967
"Lee County, SC",45061,"$28,172 ",2968
"Ben Hill County, GA",13017,"$28,165 ",2969
"Mingo County, WV",54059,"$28,162 ",2970
"Bath County, KY",21011,"$28,154 ",2971
"Montgomery County, GA",13209,"$28,150 ",2972
"Wayne County, MO",29223,"$28,141 ",2973
"Piute County, UT",49031,"$28,104 ",2974
"Clarendon County, SC",45027,"$28,063 ",2975
"Montgomery County, AR",5097,"$28,051 ",2976
"Knott County, KY",21119,"$28,035 ",2977
"Irwin County, GA",13155,"$28,025 ",2978
"Lee County, VA",51105,"$28,013 ",2979
"Stone County, AR",5137,"$28,013 ",2979
"Morgan County, TN",47129,"$27,978 ",2981
"Searcy County, AR",5129,"$27,937 ",2982
"Pinal County, AZ",4021,"$27,930 ",2983
"Menominee, WI",55078,"$27,907 ",2984
"Murray County, GA",13213,"$27,904 ",2985
"Kemper County, MS",28069,"$27,871 ",2986
"Dickenson County, VA",51051,"$27,807 ",2987
"Owsley County, KY",21189,"$27,802 ",2988
"Casey County, KY",21045,"$27,783 ",2989
"Harlan County, KY",21095,"$27,773 ",2990
"Clinton County, KY",21053,"$27,750 ",2991
"Robeson County, NC",37155,"$27,717 ",2992
"Washington County, FL",12133,"$27,704 ",2993
"Zavala County, TX",48507,"$27,691 ",2994
"Webster County, GA",13307,"$27,686 ",2995
"Buckingham County, VA",51029,"$27,637 ",2996
"Martin County, KY",21159,"$27,618 ",2997
"Quitman County, GA",13239,"$27,531 ",2998
"Wilkinson County, MS",28157,"$27,520 ",2999
"Wayne County, TN",47181,"$27,520 ",2999
"Walthall County, MS",28147,"$27,510 ",3001
"Wyoming County, WV",54109,"$27,510 ",3001
"Washington County, MO",29221,"$27,501 ",3003
"Atkinson County, GA",13003,"$27,500 ",3004
"Wayne County, KY",21231,"$27,483 ",3005
"Scott County, TN",47151,"$27,435 ",3006
"Holmes County, FL",12059,"$27,421 ",3007
"Treutlen County, GA",13283,"$27,416 ",3008
"McDowell County, WV",54047,"$27,401 ",3009
"McIntosh County, GA",13191,"$27,398 ",3010
"Lee County, AR",5077,"$27,395 ",3011
"Schley County, GA",13249,"$27,381 ",3012
"Lincoln County, WV",54043,"$27,377 ",3013
"Jenkins County, GA",13165,"$27,342 ",3014
"Pulaski County, GA",13235,"$27,326 ",3015
"Jim Hogg County, TX",48247,"$27,317 ",3016
"Van Buren County, TN",47175,"$27,268 ",3017
"Bennett County, SD",46007,"$27,250 ",3018
"Adair County, OK",40001,"$27,245 ",3019
"Ozark County, MO",29153,"$27,239 ",3020
"Maverick County, TX",48323,"$27,228 ",3021
"Cook County, GA",13075,"$27,224 ",3022
"Leake County, MS",28079,"$27,118 ",3023
"Iron County, UT",49021,"$27,068 ",3024
"Cameron County, TX",48061,"$27,055 ",3025
"Lauderdale County, TN",47097,"$26,994 ",3026
"Calhoun County, WV",54013,"$26,978 ",3027
"Cibola County, NM",35006,"$26,919 ",3028
"Newton County, AR",5101,"$26,897 ",3029
"Clayton County, GA",13063,"$26,862 ",3030
"Clay County, KY",21051,"$26,832 ",3031
"Wilcox County, GA",13315,"$26,827 ",3032
"Sevier County, AR",5133,"$26,792 ",3033
"Hickory County, MO",29085,"$26,748 ",3034
"Dillon County, SC",45033,"$26,747 ",3035
"Calhoun County, GA",13037,"$26,741 ",3036
"Knox County, KY",21121,"$26,734 ",3037
"Willacy County, TX",48489,"$26,715 ",3038
"Bullock County, AL",1011,"$26,661 ",3039
"Webster County, WV",54101,"$26,644 ",3040
"St. Francis County, AR",5123,"$26,627 ",3041
"Johnson County, AR",5071,"$26,592 ",3042
"Wright County, MO",29229,"$26,505 ",3043
"Bee County, TX",48025,"$26,466 ",3044
"Schuyler County, MO",29197,"$26,449 ",3045
"Hancock County, GA",13141,"$26,448 ",3046
"Wolfe County, KY",21237,"$26,404 ",3047
"Fulton County, AR",5049,"$26,359 ",3048
"McDonald County, MO",29119,"$26,285 ",3049
"Jasper County, SC",45053,"$26,274 ",3050
"Marlboro County, SC",45069,"$26,175 ",3051
"Taliaferro County, GA",13265,"$26,161 ",3052
"Clark County, ID",16033,"$26,099 ",3053
"Oregon County, MO",29149,"$26,094 ",3054
"Liberty County, FL",12077,"$26,066 ",3055
"Sioux County, ND",38085,"$26,052 ",3056
"Johnson County, IL",17087,"$26,033 ",3057
"Adair County, KY",21001,"$25,994 ",3058
"Dixie County, FL",12029,"$25,981 ",3059
"Sanpete County, UT",49039,"$25,798 ",3060
"Brantley County, GA",13025,"$25,762 ",3061
"Walker County, TX",48471,"$25,719 ",3062
"McKinley County, NM",35031,"$25,688 ",3063
"Marion County, GA",13197,"$25,673 ",3064
"Crowley County, CO",8025,"$25,522 ",3065
"Texas County, MO",29215,"$25,450 ",3066
"Jackson County, KY",21109,"$25,395 ",3067
"DeKalb County, MO",29063,"$25,390 ",3068
"Doddridge County, WV",54017,"$25,258 ",3069
"Hardee County, FL",12049,"$25,246 ",3070
"Lincoln County, AR",5079,"$25,132 ",3071
"Charlton County, GA",13049,"$25,109 ",3072
"Lanier County, GA",13173,"$24,964 ",3073
"Hamilton County, FL",12047,"$24,805 ",3074
"Hidalgo County, TX",48215,"$24,805 ",3074
"Gilmer County, WV",54021,"$24,779 ",3076
"Calhoun County, FL",12013,"$24,768 ",3077
"Dooly County, GA",13093,"$24,737 ",3078
"Forest County, PA",42053,"$24,639 ",3079
"Morgan County, KY",21175,"$24,466 ",3080
"Shannon County, MO",29203,"$24,424 ",3081
"Greene County, MS",28041,"$24,418 ",3082
"Magoffin County, KY",21153,"$24,379 ",3083
"Johnson County, GA",13167,"$24,364 ",3084
"Hancock County, TN",47067,"$24,256 ",3085
"Zapata County, TX",48505,"$24,226 ",3086
"Starr County, TX",48427,"$24,140 ",3087
"Madison County, ID",16065,"$24,054 ",3088
"Douglas County, MO",29067,"$23,973 ",3089
"Lake County, TN",47095,"$23,894 ",3090
"Corson County, SD",46031,"$23,877 ",3091
"Echols County, GA",13101,"$23,699 ",3092
"Todd County, SD",46121,"$23,582 ",3093
"McCreary County, KY",21147,"$23,320 ",3094
"Stewart County, GA",13259,"$23,277 ",3095
"Oglala Lakota, SD",46102,"$23,194 ",3096
"Greer County, OK",40055,"$23,191 ",3097
"Mellette County, SD",46095,"$23,106 ",3098
"Glades County, FL",12043,"$23,041 ",3099
"DeSoto County, FL",12027,"$23,023 ",3100
"Issaquena County, MS",28055,"$22,883 ",3101
"Jackson County, SD",46071,"$22,718 ",3102
"Buffalo County, SD",46017,"$22,675 ",3103
"Long County, GA",13183,"$22,599 ",3104
"Concho County, TX",48095,"$22,477 ",3105
"San Juan County, UT",49037,"$22,260 ",3106
"Elliott County, KY",21063,"$21,737 ",3107
"Lafayette County, FL",12067,"$21,736 ",3108
"Telfair County, GA",13271,"$20,541 ",3109
"Bledsoe County, TN",47007,"$20,353 ",3110
"Union County, FL",12125,"$19,374 ",3111
"Ziebach County, SD",46137,"$16,681 ",3112
"Wheeler County, GA",13309,"$16,267 ",3113
"Skagway-Hoonah-Angoon Borough, AK",2232,$0 ,3114
"Wrangell-Petersburg Borough, AK",2280,$0 ,3114
"P. of Wales-Outer Ketchikan + Ketchikan Gateway Borough, AK",2901,$0 ,3114
