county,code,labor_force,rank
"Natrona County, WY",56025,"39,569",683
"Polk County, OR",41053,"39,548",684
"Crawford County, PA",42039,"39,398",685
"Bowie County, TX",48037,"39,326",686
"Indiana County, PA",42063,"39,219",687
"Grand Forks County, ND",38035,"39,203",688
"Lancaster County, SC",45057,"39,127",689
"Dougherty County, GA",13095,"39,080",690
"Nassau County, FL",12089,"39,078",691
"St. Clair County, AL",1115,"38,946",692
"Barrow County, GA",13013,"38,866",693
"Cole County, MO",29051,"38,860",694
"Hancock County, IN",18059,"38,770",695
"Payne County, OK",40119,"38,565",696
"Bedford + Bedford City, VA",51019,"38,238",697
"Howard County, IN",18067,"37,983",698
"Broomfield County, CO",8014,"37,971",699
"Erie County, OH",39043,"37,920",700
"Cascade County, MT",30013,"37,886",701
"Troup County, GA",13285,"37,665",702
"Cullman County, AL",1043,"37,637",703
"Orange County, TX",48361,"37,246",704
"Elmore County, AL",1051,"37,236",705
"Bulloch County, GA",13031,"37,157",706
"Umatilla County, OR",41059,"36,924",707
"Augusta County, VA",51015,"36,841",708
"Wagoner County, OK",40145,"36,823",709
"Rice County, MN",27131,"36,629",710
"Angelina County, TX",48005,"36,614",711
"Caldwell County, NC",37027,"36,528",712
"Fauquier County, VA",51061,"36,391",713
"Wood County, WV",54107,"36,269",714
"Clinton County, NY",36019,"36,268",715
"Cayuga County, NY",36011,"36,134",716
"Kauai County, HI",15007,"36,132",717
"Leavenworth County, KS",20103,"36,117",718
"Robertson County, TN",47147,"36,117",718
"Morgan County, IN",18109,"36,114",720
"Wilson County, NC",37195,"36,056",721
"Highlands County, FL",12055,"35,921",722
"Clay County, MN",27027,"35,875",723
"Chemung County, NY",36015,"35,872",724
"Clearfield County, PA",42033,"35,854",725
"Lynchburg Independent City, VA",51680,"35,820",726
"Sauk, WI",55111,"35,768",727
"Henderson County, TX",48213,"35,566",728
"Isabella County, MI",26073,"35,483",729
"Van Buren County, MI",26159,"35,459",730
"Josephine County, OR",41033,"35,392",731
"James City County, VA",51095,"35,352",732
"Wood, WI",55141,"35,313",733
"Lewis and Clark County, MT",30049,"35,227",734
"Orangeburg County, SC",45075,"35,174",735
"Chatham County, NC",37037,"35,166",736
"Eagle County, CO",8037,"35,052",737
"Riley County, KS",20161,"35,023",738
"Jackson County, GA",13157,"35,004",739
"Boone County, IN",18011,"34,993",740
"Cattaraugus County, NY",36009,"34,668",741
"Sullivan County, NY",36105,"34,590",742
"Talladega County, AL",1121,"34,501",743
"Oconee County, SC",45073,"34,315",744
"Island County, WA",53029,"34,259",745
"Anderson County, TN",47001,"34,175",746
"Ross County, OH",39141,"34,130",747
"Washington County, VT",50023,"34,124",748
"Putnam County, TN",47141,"34,084",749
"Vermilion County, IL",17183,"34,070",750
"Forrest County, MS",28035,"33,967",751
"Lonoke County, AR",5085,"33,887",752
"White County, AR",5145,"33,810",753
"Columbia County, PA",42037,"33,804",754
"Chippewa, WI",55017,"33,697",755
"Surry County, NC",37171,"33,680",756
"Somerset County, PA",42111,"33,582",757
"Shiawassee County, MI",26155,"33,525",758
"Lewis County, WA",53041,"33,151",759
"Catoosa County, GA",13047,"33,123",760
"Pottawatomie County, OK",40125,"33,062",761
"Ward County, ND",38101,"32,971",762
"Harrison County, WV",54033,"32,872",763
"Madison County, NY",36053,"32,802",764
"Marquette County, MI",26103,"32,799",765
"Armstrong County, PA",42005,"32,676",766
"York County, VA",51199,"32,591",767
"Oldham County, KY",21185,"32,553",768
"Allegany County, MD",24001,"32,514",769
"Crow Wing County, MN",27035,"32,486",770
"Warrick County, IN",18173,"32,433",771
"Adams County, IL",17001,"32,237",772
"Warren County, NY",36113,"32,188",773
"St. Landry Parish, LA",22097,"32,148",774
"Carteret County, NC",37031,"32,040",775
"Columbia, WI",55021,"32,023",776
"Lincoln County, SD",46083,"31,959",777
"Tooele County, UT",49045,"31,829",778
"Butler County, KS",20015,"31,813",779
"Grant County, IN",18053,"31,781",780
"Garfield County, CO",8045,"31,778",781
"Otter Tail County, MN",27111,"31,757",782
"Liberty County, TX",48291,"31,713",783
"La Plata County, CO",8067,"31,713",783
"Lauderdale County, MS",28075,"31,618",785
"Aroostook County, ME",23003,"31,616",786
"Creek County, OK",40037,"31,523",787
"Williamson County, IL",17199,"31,519",788
"Carbon County, PA",42025,"31,500",789
"Columbia County, NY",36021,"31,457",790
"Hall County, NE",31079,"31,452",791
"Sandusky County, OH",39143,"31,354",792
"Knox County, OH",39083,"31,269",793
"Wilkes County, NC",37193,"31,187",794
"Barry County, MI",26015,"31,125",795
"Livingston County, NY",36051,"31,071",796
"Rutland County, VT",50021,"30,931",797
"Greenwood County, SC",45047,"30,880",798
"Belknap, NH",33001,"30,857",799
"Wayne County, IN",18177,"30,832",800
"Greene County, TN",47059,"30,828",801
"Walker County, GA",13295,"30,728",802
"Belmont County, OH",39013,"30,705",803
"Saline County, KS",20169,"30,674",804
"San Patricio County, TX",48409,"30,647",805
"San Benito County, CA",6069,"30,317",806
"Sumter County, FL",12119,"30,293",807
"Lamar County, MS",28073,"30,205",808
"Laurens County, SC",45059,"30,194",809
"Franklin County, NC",37069,"30,122",810
"Granville County, NC",37077,"30,039",811
"Reno County, KS",20155,"30,028",812
"Ionia County, MI",26067,"29,898",813
"Salem County, NJ",34033,"29,891",814
"Klamath County, OR",41035,"29,880",815
"Valencia County, NM",35061,"29,846",816
"Wise County, TX",48497,"29,844",817
"Darlington County, SC",45031,"29,830",818
"Stanly County, NC",37167,"29,824",819
"Genesee County, NY",36037,"29,723",820
"Scioto County, OH",39145,"29,715",821
"Lake County, CA",6033,"29,714",822
"Walton County, FL",12131,"29,702",823
"Chisago County, MN",27025,"29,638",824
"McCracken County, KY",21145,"29,636",825
"Pittsylvania County, VA",51143,"29,542",826
"Muskogee County, OK",40101,"29,534",827
"Raleigh County, WV",54081,"29,526",828
"Iberia Parish, LA",22045,"29,495",829
"Columbia County, FL",12023,"29,419",830
"Harrison County, TX",48203,"29,410",831
"Sampson County, NC",37163,"29,398",832
"Hancock County, ME",23009,"29,396",833
"Bradford County, PA",42015,"29,363",834
"Pope County, AR",5115,"29,336",835
"Walla Walla County, WA",53071,"29,304",836
"Windsor County, VT",50027,"29,258",837
"Kershaw County, SC",45055,"29,130",838
"Winona County, MN",27169,"29,057",839
"DeKalb County, AL",1049,"29,038",840
"Effingham County, GA",13103,"29,036",841
"Haywood County, NC",37087,"29,020",842
"Eddy County, NM",35015,"28,871",843
"St. Joseph County, MI",26149,"28,855",844
"Jefferson County, WV",54037,"28,661",845
"Athens County, OH",39009,"28,594",846
"Watauga County, NC",37189,"28,574",847
"Yuba County, CA",6115,"28,546",848
"Nacogdoches County, TX",48347,"28,538",849
"Spalding County, GA",13255,"28,529",850
"Washington County, NY",36115,"28,504",851
"Grant, WI",55043,"28,404",852
"Scott County, KY",21209,"28,401",853
"Jefferson County, OH",39081,"28,373",854
"Herkimer County, NY",36043,"28,294",855
"Union County, OH",39159,"28,240",856
"Otsego County, NY",36077,"28,231",857
"Montcalm County, MI",26117,"28,183",858
"Lenoir County, NC",37107,"28,126",859
"Huron County, OH",39077,"28,075",860
"Jefferson County, AR",5069,"28,059",861
"Calumet, WI",55015,"28,041",862
"Whiteside County, IL",17195,"28,039",863
"Marion County, OH",39101,"28,031",864
"Jackson County, IL",17077,"27,990",865
"Grays Harbor County, WA",53027,"27,971",866
"Garfield County, OK",40047,"27,936",867
"Clallam County, WA",53009,"27,927",868
"Tipton County, TN",47167,"27,774",869
"Newton County, MO",29145,"27,750",870
"Washington County, OH",39167,"27,626",871
"Lea County, NM",35025,"27,554",872
"Franklin County, VT",50011,"27,427",873
"Pender County, NC",37141,"27,362",874
"Seneca County, OH",39147,"27,323",875
"Hamblen County, TN",47063,"27,312",876
"Elko County, NV",32007,"27,304",877
"Warren County, IA",19181,"27,296",878
"Chaves County, NM",35005,"27,274",879
"Queen Anne's County, MD",24035,"27,125",880
"Putnam County, FL",12107,"27,106",881
"Kenai Peninsula Borough, AK",2122,"27,095",882
"Buffalo County, NE",31019,"27,050",883
"Lincoln County, MO",29113,"26,985",884
"Oxford County, ME",23017,"26,917",885
"Goodhue County, MN",27049,"26,916",886
"Washington County, VA",51191,"26,908",887
"Lafayette County, MS",28071,"26,766",888
"Gordon County, GA",13129,"26,745",889
"Waupaca, WI",55135,"26,715",890
"Crawford County, AR",5033,"26,688",891
"Coos County, OR",41011,"26,645",892
"Lee County, NC",37105,"26,639",893
"Pickaway County, OH",39129,"26,635",894
"Taney County, MO",29213,"26,488",895
"Darke County, OH",39037,"26,452",896
"Ashland County, OH",39005,"26,366",897
"St. Francois County, MO",29187,"26,250",898
"Franklin County, VA",51067,"26,196",899
"Bristol County, RI",44001,"26,179",900
"Campbell County, VA",51031,"26,129",901
"Grady County, OK",40051,"26,098",902
"Jessamine County, KY",21113,"26,051",903
"Starr County, TX",48427,"26,049",904
"Putnam County, WV",54079,"26,006",905
"Boone County, IL",17007,"25,978",906
"Autauga County, AL",1001,"25,909",907
"Liberty County, GA",13179,"25,838",908
"Worcester County, MD",24047,"25,699",909
"Hood County, TX",48221,"25,691",910
"Dickson County, TN",47043,"25,674",911
"Grundy County, IL",17063,"25,658",912
"Carson City County, NV",32510,"25,610",913
"Tehama County, CA",6103,"25,598",914
"Dearborn County, IN",18029,"25,591",915
"Duplin County, NC",37061,"25,578",916
"Marion County, WV",54049,"25,559",917
"Charlottesville Independent City, VA",51540,"25,558",918
"Pulaski County, KY",21199,"25,539",919
"Box Elder County, UT",49003,"25,535",920
"Jones County, MS",28067,"25,476",921
"Lowndes County, MS",28087,"25,384",922
"Van Zandt County, TX",48467,"25,311",923
"Georgetown County, SC",45043,"25,289",924
"St. Charles Parish, LA",22089,"25,219",925
"Pierce, WI",55093,"25,207",926
"Ogle County, IL",17141,"25,178",927
"Walker County, AL",1127,"25,145",928
"Christian County, KY",21047,"25,091",929
"Polk, WI",55095,"25,067",930
"Hardin County, TX",48199,"25,045",931
"Coffee County, TN",47031,"25,035",932
"Pike County, PA",42103,"24,836",933
"Kandiyohi County, MN",27067,"24,834",934
"Barron, WI",55005,"24,821",935
"Henry County, IL",17073,"24,790",936
"Otero County, NM",35035,"24,778",937
"Auglaize County, OH",39011,"24,734",938
"Lawrence County, OH",39087,"24,732",939
"Laurel County, KY",21125,"24,697",940
"Coryell County, TX",48099,"24,691",941
"Franklin County, KY",21073,"24,673",942
"Rutherford County, NC",37161,"24,610",943
"Dunn, WI",55033,"24,598",944
"Summit County, UT",49043,"24,597",945
"Harrisonburg Independent City, VA",51660,"24,559",946
"Blount County, AL",1009,"24,494",947
"Cass County, MI",26027,"24,431",948
"Coles County, IL",17029,"24,429",949
"Vermilion Parish, LA",22113,"24,349",950
"Perry County, PA",42099,"24,239",951
"McKinley County, NM",35031,"24,237",952
"Columbia County, OR",41009,"24,224",953
"Shelby County, KY",21211,"24,212",954
"Wilson County, TX",48493,"24,155",955
"Acadia Parish, LA",22001,"24,151",956
"Shelby County, OH",39149,"24,143",957
"Cherokee County, SC",45021,"24,094",958
"Tuscola County, MI",26157,"24,039",959
"Jefferson County, TN",47089,"23,978",960
"Carter County, TN",47019,"23,911",961
"Maverick County, TX",48323,"23,860",962
"Mason County, WA",53045,"23,843",963
"Hawkins County, TN",47073,"23,838",964
"Culpeper County, VA",51047,"23,786",965
"Douglas, WI",55031,"23,776",966
"Marshall County, IN",18099,"23,768",967
"Bedford County, PA",42009,"23,757",968
"Beltrami County, MN",27007,"23,722",969
"Mercer County, OH",39107,"23,707",970
"Lamar County, TX",48277,"23,680",971
"Monroe, WI",55081,"23,649",972
"Walker County, TX",48471,"23,625",973
"Cumberland County, TN",47035,"23,574",974
"Logan County, OH",39091,"23,540",975
"Whitman County, WA",53075,"23,465",976
"Russell County, AL",1113,"23,457",977
"Newaygo County, MI",26123,"23,456",978
"Carroll, NH",33003,"23,352",979
"Somerset County, ME",23025,"23,345",980
"Fulton County, NY",36035,"23,317",981
"Anderson County, TX",48001,"23,262",982
"Pearl River County, MS",28109,"23,243",983
"Cerro Gordo County, IA",19033,"23,237",984
"Dubois County, IN",18037,"23,194",985
"Clinton County, IA",19045,"23,167",986
"Johnson County, MO",29101,"23,157",987
"Roane County, TN",47145,"23,150",988
"Washington County, OK",40147,"23,143",989
"Cortland County, NY",36023,"23,103",990
"Colbert County, AL",1033,"23,092",991
"Campbell County, WY",56005,"23,083",992
"Macoupin County, IL",17117,"23,071",993
"Jackson County, AL",1071,"23,066",994
"Sullivan, NH",33019,"23,057",995
"Venango County, PA",42121,"23,056",996
"Noble County, IN",18113,"23,050",997
"Shelby County, IN",18145,"23,016",998
"Williams County, ND",38105,"23,013",999
"Tioga County, NY",36107,"22,978",1000
"Windham County, VT",50025,"22,954",1001
"Bingham County, ID",16011,"22,946",1002
"Oktibbeha County, MS",28105,"22,878",1003
"McMinn County, TN",47107,"22,821",1004
"Douglas County, NV",32005,"22,769",1005
"Navarro County, TX",48349,"22,752",1006
"Montgomery County, NY",36057,"22,656",1007
"Fulton County, OH",39051,"22,640",1008
"Loudon County, TN",47105,"22,622",1009
"Chenango County, NY",36017,"22,593",1010
"St. Martin Parish, LA",22099,"22,562",1011
"Henry County, VA",51089,"22,541",1012
"Wayne County, PA",42127,"22,528",1013
"Carter County, OK",40019,"22,511",1014
"Nelson County, KY",21179,"22,487",1015
"Knox County, IL",17095,"22,472",1016
"Iron County, UT",49021,"22,381",1017
"Jackson County, IN",18071,"22,363",1018
"Columbus County, NC",37047,"22,324",1019
"Kittitas County, WA",53037,"22,228",1020
"DeKalb County, IN",18033,"22,211",1021
"Waller County, TX",48473,"22,201",1022
"Colquitt County, GA",13071,"22,195",1023
"Burnet County, TX",48053,"22,153",1024
"Edgecombe County, NC",37065,"22,132",1025
"Henry County, IN",18065,"22,122",1026
"Rusk County, TX",48401,"22,113",1027
"Lyon County, NV",32019,"22,090",1028
"Benton County, MN",27009,"22,088",1029
"Manassas Independent City, VA",51683,"22,051",1030
"Stokes County, NC",37169,"22,034",1031
"Curry County, NM",35009,"22,018",1032
"Summit County, CO",8117,"22,008",1033
"Henderson County, KY",21101,"21,863",1034
"Muscatine County, IA",19139,"21,819",1035
"Crittenden County, AR",5035,"21,807",1036
"Itasca County, MN",27061,"21,781",1037
"Logan County, OK",40083,"21,719",1038
"Lincoln Parish, LA",22061,"21,674",1039
"Shawano, WI",55115,"21,624",1040
"Chesterfield County, SC",45025,"21,621",1041
"Sweetwater County, WY",56037,"21,581",1042
"Green, WI",55045,"21,571",1043
"Stephenson County, IL",17177,"21,537",1044
"Callaway County, MO",29027,"21,514",1045
"Tuolumne County, CA",6109,"21,477",1046
"Gibson County, TN",47053,"21,386",1047
"Mercer County, WV",54055,"21,365",1048
"Gila County, AZ",4007,"21,362",1049
"Ottawa County, OH",39123,"21,350",1050
"Kerr County, TX",48265,"21,290",1051
"Medina County, TX",48325,"21,273",1052
"Madison County, ID",16065,"21,269",1053
"Nez Perce County, ID",16069,"21,264",1054
"Lincoln County, OR",41041,"21,197",1055
"Calaveras County, CA",6009,"21,184",1056
"Atascosa County, TX",48013,"21,181",1057
"Preble County, OH",39135,"21,150",1058
"Osage County, OK",40113,"21,127",1059
"Waldo County, ME",23027,"21,095",1060
"Hillsdale County, MI",26059,"21,084",1061
"Wharton County, TX",48481,"21,054",1062
"Isanti County, MN",27059,"21,034",1063
"Shenandoah County, VA",51171,"21,027",1064
"Douglas County, WA",53017,"21,012",1065
"Cheatham County, TN",47021,"21,003",1066
"Brown County, SD",46013,"20,950",1067
"McDowell County, NC",37111,"20,948",1068
"Okanogan County, WA",53047,"20,930",1069
"Montrose County, CO",8085,"20,925",1070
"Camden County, GA",13039,"20,906",1071
"Addison County, VT",50001,"20,842",1072
"Holmes County, OH",39075,"20,813",1073
"Oconto, WI",55083,"20,793",1074
"Lawrence County, IN",18093,"20,776",1075
"Greene County, NY",36039,"20,757",1076
"Knox County, ME",23013,"20,727",1077
"Kendall County, TX",48259,"20,705",1078
"Madison County, OH",39097,"20,674",1079
"Coffee County, AL",1031,"20,671",1080
"Halifax County, NC",37083,"20,659",1081
"Cherokee County, TX",48073,"20,659",1081
"Douglas County, MN",27041,"20,653",1083
"Susquehanna County, PA",42115,"20,651",1084
"Warren County, MS",28149,"20,649",1085
"Mifflin County, PA",42087,"20,630",1086
"Nicollet County, MN",27103,"20,625",1087
"Erath County, TX",48143,"20,586",1088
"Mower County, MN",27099,"20,575",1089
"Jefferson County, PA",42065,"20,572",1090
"Ohio County, WV",54069,"20,565",1091
"Steele County, MN",27147,"20,561",1092
"Snyder County, PA",42109,"20,541",1093
"Bedford County, TN",47003,"20,539",1094
"Bryan County, OK",40013,"20,496",1095
"Albany County, WY",56001,"20,471",1096
"Pike County, KY",21195,"20,466",1097
"Apache County, AZ",4001,"20,419",1098
"St. Mary Parish, LA",22101,"20,410",1099
"Pettis County, MO",29159,"20,388",1100
"Finney County, KS",20055,"20,373",1101
"Sioux County, IA",19167,"20,350",1102
"Davie County, NC",37059,"20,330",1103
"Clinton County, IL",17027,"20,251",1104
"Hopkins County, KY",21107,"20,168",1105
"Dare County, NC",37055,"20,162",1106
"Latah County, ID",16057,"20,140",1107
"Beaufort County, NC",37013,"20,100",1108
"Marinette, WI",55075,"20,044",1109
"Harrison County, IN",18061,"20,035",1110
"Warren County, VA",51187,"20,033",1111
"Val Verde County, TX",48465,"20,007",1112
"Franklin County, NY",36033,"19,982",1113
"St. John the Baptist Parish, LA",22095,"19,975",1114
"Steuben County, IN",18151,"19,922",1115
"Hoke County, NC",37093,"19,912",1116
"Franklin County, TN",47051,"19,907",1117
"Dale County, AL",1045,"19,868",1118
"Miller County, AR",5091,"19,862",1119
"Champaign County, OH",39021,"19,859",1120
"Allegany County, NY",36003,"19,858",1121
"Union County, PA",42119,"19,834",1122
"LaGrange County, IN",18087,"19,815",1123
"Greene County, AR",5055,"19,805",1124
"Ravalli County, MT",30081,"19,786",1125
"Scott County, MO",29201,"19,781",1126
"Talbot County, MD",24041,"19,752",1127
"Huntingdon County, PA",42061,"19,739",1128
"Monroe County, TN",47123,"19,734",1129
"Brown County, OH",39015,"19,726",1130
"Des Moines County, IA",19057,"19,655",1131
"McLeod County, MN",27085,"19,578",1132
"St. Bernard Parish, LA",22087,"19,477",1133
"Sanilac County, MI",26151,"19,457",1134
"Laurens County, GA",13175,"19,445",1135
"Fremont County, WY",56013,"19,407",1136
"Sagadahoc County, ME",23023,"19,398",1137
"Le Flore County, OK",40079,"19,373",1138
"Habersham County, GA",13137,"19,372",1139
"Webster County, IA",19187,"19,369",1140
"Warren County, PA",42123,"19,337",1141
"Phelps County, MO",29161,"19,311",1142
"Gloucester County, VA",51073,"19,304",1143
"Dodge County, NE",31053,"19,279",1144
"Jasper County, IA",19099,"19,272",1145
"Barren County, KY",21009,"19,257",1146
"Tift County, GA",13277,"19,253",1147
"Clatsop County, OR",41007,"19,248",1148
"Kay County, OK",40071,"19,236",1149
"Oconee County, GA",13219,"19,231",1150
"Tioga County, PA",42117,"19,220",1151
"Mayes County, OK",40097,"19,145",1152
"Danville Independent City, VA",51590,"19,140",1153
"Bonner County, ID",16017,"19,131",1154
"Crawford County, KS",20037,"19,123",1155
"Chilton County, AL",1021,"19,118",1156
"Madison County, NE",31119,"19,116",1157
"Isle of Wight County, VA",51093,"19,105",1158
"Delaware County, NY",36025,"19,104",1159
"Branch County, MI",26023,"19,088",1160
"Louisa County, VA",51109,"19,087",1161
"Cherokee County, OK",40021,"19,082",1162
"Williams County, OH",39171,"19,061",1163
"Gibson County, IN",18051,"19,037",1164
"McClain County, OK",40087,"19,030",1165
"Crawford County, OH",39033,"19,020",1166
"Putnam County, OH",39137,"19,006",1167
"Santa Cruz County, AZ",4023,"19,001",1168
"Jackson County, NC",37099,"18,983",1169
"Montgomery County, IN",18107,"18,927",1170
"Hancock County, MS",28045,"18,911",1171
"Guernsey County, OH",39059,"18,907",1172
"Mecosta County, MI",26107,"18,905",1173
"Woodford County, IL",17203,"18,837",1174
"Cooke County, TX",48097,"18,826",1175
"Brookings County, SD",46011,"18,815",1176
"Effingham County, IL",17049,"18,787",1177
"Pontotoc County, OK",40123,"18,730",1178
"Okeechobee County, FL",12093,"18,691",1179
"Knox County, IN",18083,"18,645",1180
"Calloway County, KY",21035,"18,597",1181
"Becker County, MN",27005,"18,589",1182
"Fayette County, TN",47047,"18,522",1183
"Lincoln County, NE",31111,"18,518",1184
"Chambers County, TX",48071,"18,511",1185
"Defiance County, OH",39039,"18,498",1186
"Boyd County, KY",21019,"18,497",1187
"Newberry County, SC",45071,"18,491",1188
"Delaware County, OK",40041,"18,488",1189
"Gadsden County, FL",12039,"18,477",1190
"Camden County, MO",29029,"18,475",1191
"Polk County, GA",13233,"18,470",1192
"Bennington County, VT",50003,"18,438",1193
"Coffee County, GA",13069,"18,436",1194
"Oneida, WI",55085,"18,434",1195
"Caldwell County, TX",48055,"18,406",1196
"Huntington County, IN",18069,"18,387",1197
"Monroe County, IL",17133,"18,356",1198
"Scotts Bluff County, NE",31157,"18,352",1199
"Person County, NC",37145,"18,321",1200
"Clinton County, PA",42035,"18,317",1201
"Stevens County, WA",53065,"18,284",1202
"Stark County, ND",38089,"18,283",1203
"Tallapoosa County, AL",1123,"18,279",1204
"Stephens County, OK",40137,"18,256",1205
"Marshall County, IA",19127,"18,248",1206
"Alexander County, NC",37003,"18,159",1207
"McKean County, PA",42083,"18,148",1208
"Wyoming County, NY",36121,"18,086",1209
"Butler County, MO",29023,"18,085",1210
"Suwannee County, FL",12121,"18,082",1211
"Gratiot County, MI",26057,"18,068",1212
"Clark, WI",55019,"18,013",1213
"Siskiyou County, CA",6093,"17,963",1214
"Caroline County, MD",24011,"17,936",1215
"Mississippi County, AR",5093,"17,908",1216
"Vance County, NC",37181,"17,897",1217
"Carlton County, MN",27017,"17,854",1218
"Baldwin County, GA",13009,"17,815",1219
"Cass County, IN",18017,"17,811",1220
"Orleans County, NY",36073,"17,796",1221
"Ford County, KS",20057,"17,791",1222
"Lee County, IL",17103,"17,784",1223
"Lawrence County, TN",47099,"17,769",1224
"Yadkin County, NC",37197,"17,756",1225
"Clarion County, PA",42031,"17,723",1226
"Morrison County, MN",27097,"17,713",1227
"Emmet County, MI",26047,"17,676",1228
"Pittsburg County, OK",40121,"17,645",1229
"Wapello County, IA",19179,"17,641",1230
"Marion County, IL",17121,"17,637",1231
"Upshur County, TX",48459,"17,613",1232
"Clinton County, OH",39027,"17,593",1233
"Lawrence County, MO",29109,"17,564",1234
"Pasquotank County, NC",37139,"17,493",1235
"Polk County, TX",48373,"17,435",1236
"Juneau Borough, AK",2110,"17,435",1236
"Jefferson County, IL",17081,"17,341",1238
"Marion County, IA",19125,"17,337",1239
"Warren County, MO",29219,"17,326",1240
"Bryan County, GA",13029,"17,325",1241
"Botetourt County, VA",51023,"17,325",1241
"Wood County, TX",48499,"17,323",1243
"Bureau County, IL",17011,"17,319",1244
"Essex County, NY",36031,"17,310",1245
"Jackson County, FL",12063,"17,307",1246
"Thomas County, GA",13275,"17,273",1247
"Clark County, KY",21049,"17,258",1248
"Washington County, MS",28151,"17,237",1249
"Adams County, IN",18001,"17,235",1250
"Lafayette County, MO",29107,"17,206",1251
"Whitley County, IN",18183,"17,198",1252
"Warren County, TN",47177,"17,195",1253
"Miami County, KS",20121,"17,175",1254
"Platte County, NE",31141,"17,160",1255
"Highland County, OH",39071,"17,154",1256
"Silver Bow County, MT",30093,"17,149",1257
"Hopkins County, TX",48223,"17,145",1258
"Lincoln County, ME",23015,"17,077",1259
"Morrow County, OH",39117,"17,053",1260
"Polk County, MN",27119,"17,043",1261
"Delta County, MI",26041,"17,038",1262
"Harvey County, KS",20079,"17,031",1263
"Washington Parish, LA",22117,"16,976",1264
"Ellis County, KS",20051,"16,972",1265
"Levy County, FL",12075,"16,967",1266
"Cowley County, KS",20035,"16,961",1267
"Matagorda County, TX",48321,"16,930",1268
"Clinton County, IN",18023,"16,913",1269
"Colleton County, SC",45029,"16,844",1270
"Greene County, PA",42059,"16,835",1271
"Lyon County, KS",20111,"16,809",1272
"Morton County, ND",38059,"16,805",1273
"Webster County, MO",29225,"16,764",1274
"Lumpkin County, GA",13187,"16,756",1275
"Richmond County, NC",37153,"16,726",1276
"Jim Wells County, TX",48249,"16,709",1277
"Rio Arriba County, NM",35039,"16,708",1278
"Livingston County, IL",17105,"16,611",1279
"Trempealeau, WI",55121,"16,611",1279
"Putnam County, IN",18133,"16,601",1281
"Sequoyah County, OK",40135,"16,575",1282
"Adams County, NE",31001,"16,548",1283
"Houghton County, MI",26061,"16,542",1284
"Orange County, VA",51137,"16,539",1285
"Chippewa County, MI",26033,"16,451",1286
"Natchitoches Parish, LA",22069,"16,450",1287
"Morgan County, IL",17137,"16,437",1288
"Franklin County, IL",17055,"16,425",1289
"Nye County, NV",32023,"16,403",1290
"Baxter County, AR",5005,"16,401",1291
"Vernon Parish, LA",22115,"16,368",1292
"Harris County, GA",13145,"16,350",1293
"Jasper County, IN",18073,"16,348",1294
"Lincoln County, TN",47103,"16,316",1295
"McPherson County, KS",20113,"16,290",1296
"Seneca County, NY",36099,"16,266",1297
"Pulaski County, VA",51155,"16,260",1298
"Independence County, AR",5063,"16,231",1299
"Laclede County, MO",29105,"16,189",1300
"Brown County, TX",48049,"16,183",1301
"Freeborn County, MN",27047,"16,182",1302
"Lee County, IA",19111,"16,168",1303
"Okmulgee County, OK",40111,"16,147",1304
"Hill County, TX",48217,"16,142",1305
"Union County, AR",5139,"16,138",1306
"Perry County, OH",39127,"16,137",1307
"Dyer County, TN",47045,"16,132",1308
"Alcorn County, MS",28003,"16,095",1309
"Vernon, WI",55123,"16,052",1310
"Graves County, KY",21083,"16,041",1311
"Elk County, PA",42047,"15,996",1312
"Ware County, GA",13299,"15,972",1313
"Accomack County, VA",51001,"15,948",1314
"Fannin County, TX",48147,"15,937",1315
"Orange County, VT",50017,"15,934",1316
"Weakley County, TN",47183,"15,897",1317
"Lincoln County, OK",40081,"15,870",1318
"Tazewell County, VA",51185,"15,866",1319
"Daviess County, IN",18027,"15,846",1320
"Boone County, AR",5009,"15,821",1321
"Murray County, GA",13213,"15,815",1322
"Le Sueur County, MN",27079,"15,803",1323
"Miami County, IN",18103,"15,795",1324
"Sheridan County, WY",56033,"15,791",1325
"Fayette County, WV",54019,"15,757",1326
"White County, GA",13311,"15,745",1327
"Dorchester County, MD",24019,"15,743",1328
"Huron County, MI",26063,"15,737",1329
"Greenbrier County, WV",54025,"15,723",1330
"Morgan County, CO",8087,"15,716",1331
"Park County, WY",56029,"15,688",1332
"Door, WI",55029,"15,682",1333
"Hendry County, FL",12051,"15,652",1334
"Covington County, AL",1039,"15,646",1335
"Avoyelles Parish, LA",22009,"15,644",1336
"Garrett County, MD",24023,"15,612",1337
"Giles County, TN",47055,"15,600",1338
"Lincoln, WI",55069,"15,598",1339
"Routt County, CO",8107,"15,577",1340
"Wayne County, WV",54099,"15,556",1341
"Marshall County, TN",47117,"15,535",1342
"Howell County, MO",29091,"15,467",1343
"Teton County, WY",56039,"15,467",1343
"Monroe County, MS",28095,"15,432",1345
"Fulton County, IL",17057,"15,430",1346
"Custer County, OK",40039,"15,362",1347
"Pike County, AL",1109,"15,238",1348
"Macon County, NC",37113,"15,216",1349
"Codington County, SD",46029,"15,186",1350
"Marshall County, KY",21157,"15,180",1351
"Chambers County, AL",1017,"15,176",1352
"Prince George County, VA",51149,"15,149",1353
"Wabash County, IN",18169,"15,115",1354
"Barry County, MO",29009,"15,109",1355
"Caroline County, VA",51033,"15,099",1356
"Amherst County, VA",51009,"15,085",1357
"Fremont County, CO",8043,"15,084",1358
"Preston County, WV",54077,"15,074",1359
