county,code,labor_force,rank
"Pasco County, FL",12101,"227,733",155
"Clark County, WA",53011,"227,382",156
"Richmond County, NY",36085,"226,924",157
"Waukesha, WI",55133,"226,578",158
"Hampden County, MA",25013,"223,137",159
"Onondaga County, NY",36067,"221,699",160
"Monterey County, CA",6053,"220,120",161
"St. Charles County, MO",29183,"219,820",162
"Clackamas County, OR",41005,"218,947",163
"Santa Barbara County, CA",6083,"216,954",164
"Jefferson Parish, LA",22051,"215,779",165
"Berks County, PA",42011,"212,082",166
"Lucas County, OH",39095,"211,724",167
"Loudoun County, VA",51107,"211,626",168
"Solano County, CA",6095,"209,199",169
"Tulare County, CA",6107,"205,423",170
"Charleston County, SC",45019,"204,937",171
"Richland County, SC",45079,"199,987",172
"Mercer County, NJ",34021,"198,846",173
"Anoka County, MN",27003,"195,328",174
"Larimer County, CO",8069,"195,084",175
"Washtenaw County, MI",26161,"193,566",176
"Butler County, OH",39017,"192,374",177
"Pulaski County, AR",5119,"190,086",178
"Lehigh County, PA",42077,"188,781",179
"Stark County, OH",39151,"187,574",180
"Boulder County, CO",8013,"186,852",181
"Mobile County, AL",1097,"186,239",182
"Sarasota County, FL",12115,"185,793",183
"Forsyth County, NC",37067,"184,234",184
"Chesterfield County, VA",51041,"183,860",185
"Douglas County, CO",8035,"183,263",186
"Genesee County, MI",26049,"183,109",187
"Howard County, MD",24027,"182,804",188
"Lane County, OR",41039,"182,399",189
"Placer County, CA",6061,"182,169",190
"Henrico County, VA",51087,"182,026",191
"Westmoreland County, PA",42129,"181,839",192
"Orange County, NY",36071,"181,557",193
"Rockingham, NH",33015,"181,322",194
"Allen County, IN",18003,"180,751",195
"Orleans Parish, LA",22071,"179,465",196
"Hamilton County, TN",47065,"176,554",197
"Hamilton County, IN",18057,"175,574",198
"Madison County, AL",1089,"175,153",199
"Manatee County, FL",12081,"174,945",200
"Fayette County, KY",21067,"174,304",201
"Somerset County, NJ",34035,"173,325",202
"Collier County, FL",12021,"171,979",203
"Brazoria County, TX",48039,"171,954",204
"Davis County, UT",49011,"170,335",205
"Rutherford County, TN",47149,"169,956",206
"Osceola County, FL",12097,"169,949",207
"Lancaster County, NE",31109,"168,999",208
"Pinal County, AZ",4021,"168,806",209
"Nueces County, TX",48355,"167,523",210
"McHenry County, IL",17111,"167,389",211
"Cameron County, TX",48061,"166,268",212
"Durham County, NC",37063,"165,496",213
"Cumberland County, ME",23005,"165,341",214
"Marion County, OR",41047,"162,450",215
"Galveston County, TX",48167,"161,703",216
"Albany County, NY",36001,"159,950",217
"Northampton County, PA",42095,"158,727",218
"Luzerne County, PA",42079,"158,265",219
"Weld County, CO",8123,"157,286",220
"Ottawa County, MI",26139,"157,285",221
"Lubbock County, TX",48303,"155,834",222
"St. Louis City County, MO",29510,"155,752",223
"Anchorage Borough, AK",2020,"155,462",224
"Rockland County, NY",36087,"154,508",225
"Leon County, FL",12073,"152,544",226
"Lorain County, OH",39093,"151,638",227
"Gloucester County, NJ",34015,"151,568",228
"Lake County, FL",12069,"151,015",229
"Ingham County, MI",26065,"150,600",230
"Arlington County, VA",51013,"149,627",231
"Greene County, MO",29077,"147,999",232
"Lexington County, SC",45063,"147,870",233
"Spartanburg County, SC",45083,"146,296",234
"Escambia County, FL",12033,"144,784",235
"Dutchess County, NY",36027,"144,725",236
"Santa Cruz County, CA",6087,"143,802",237
"Horry County, SC",45051,"143,389",238
"Brown, WI",55009,"143,350",239
"San Luis Obispo County, CA",6079,"142,066",240
"Dauphin County, PA",42043,"141,982",241
"Washington County, MN",27163,"141,336",242
"Marin County, CA",6041,"141,308",243
"Bell County, TX",48027,"141,233",244
"Cleveland County, OK",40027,"140,218",245
"New London County, CT",9011,"139,444",246
"Chatham County, GA",13051,"139,026",247
"Harford County, MD",24025,"138,729",248
"Winnebago County, IL",17201,"138,602",249
"St. Lucie County, FL",12111,"138,067",250
"Buncombe County, NC",37021,"136,994",251
"Alachua County, FL",12001,"136,013",252
"Thurston County, WA",53067,"134,847",253
"Clayton County, GA",13063,"134,595",254
"Clay County, MO",29047,"134,548",255
"St. Joseph County, IN",18141,"133,864",256
"Marion County, FL",12083,"133,553",257
"Madison County, IL",17119,"133,452",258
"York County, SC",45091,"133,410",259
"Benton County, AR",5007,"132,496",260
"Kalamazoo County, MI",26077,"132,438",261
"Frederick County, MD",24021,"131,266",262
"Erie County, PA",42049,"130,755",263
"Cherokee County, GA",13057,"129,987",264
"Cumberland County, PA",42041,"129,985",265
"Cumberland County, NC",37051,"127,617",266
"Yakima County, WA",53077,"126,814",267
"St. Clair County, IL",17163,"125,758",268
"Weber County, UT",49057,"124,363",269
"Lake County, OH",39085,"124,193",270
"St. Johns County, FL",12109,"122,964",271
"Washington County, AR",5143,"122,329",272
"Kitsap County, WA",53035,"121,104",273
"Atlantic County, NJ",34001,"121,102",274
"Chesapeake Independent City, VA",51550,"119,577",275
"Union County, NC",37179,"119,334",276
"New Hanover County, NC",37129,"118,501",277
"Saratoga County, NY",36091,"118,482",278
"Linn County, IA",19113,"118,275",279
"McLennan County, TX",48309,"118,021",280
"Williamson County, TN",47187,"118,004",281
"St. Tammany Parish, LA",22103,"117,253",282
"Jefferson County, MO",29099,"116,746",283
"Richmond Independent City, VA",51760,"116,588",284
"Warren County, OH",39165,"116,363",285
"Merced County, CA",6047,"116,088",286
"Forsyth County, GA",13117,"114,728",287
"Webb County, TX",48479,"114,696",288
"Brazos County, TX",48041,"113,424",289
"York County, ME",23031,"113,416",290
"Lafayette Parish, LA",22055,"113,098",291
"Barnstable County, MA",25001,"112,489",292
"Henry County, GA",13151,"112,204",293
"Elkhart County, IN",18039,"111,740",294
"Norfolk Independent City, VA",51710,"111,699",295
"Hinds County, MS",28049,"110,762",296
"Whatcom County, WA",53073,"110,074",297
"Minnehaha County, SD",46099,"109,516",298
"Shelby County, AL",1117,"109,331",299
"Calcasieu Parish, LA",22019,"108,795",300
"Gaston County, NC",37071,"108,698",301
"Hays County, TX",48209,"108,012",302
"Yolo County, CA",6113,"107,775",303
"Jefferson County, TX",48245,"107,321",304
"Delaware County, OH",39041,"106,926",305
"Washington County, PA",42125,"106,484",306
"Lackawanna County, PA",42069,"106,305",307
"Smith County, TX",48423,"105,896",308
"Litchfield County, CT",9005,"105,736",309
"Caddo Parish, LA",22017,"105,707",310
"Montgomery County, AL",1101,"105,505",311
"Clermont County, OH",39025,"105,450",312
