county,code,median_age,rank
"San Juan County, NM",35045,34.8,2787
"Minnehaha County, SD",46099,34.8,2787
"Lipscomb County, TX",48295,34.8,2787
"Uinta County, WY",56041,34.8,2787
"Russell County, AL",1113,34.8,2787
"Matanuska-Susitna Borough, AK",2170,34.8,2787
"Riverside County, CA",6065,34.8,2787
"Power County, ID",16077,34.7,2799
"Bossier Parish, LA",22015,34.7,2799
"Tangipahoa Parish, LA",22105,34.7,2799
"Baltimore City County, MD",24510,34.7,2799
"Ottawa County, MI",26139,34.7,2799
"Hudson County, NJ",34017,34.7,2799
"Mecklenburg County, NC",37119,34.7,2799
"Wood County, OH",39173,34.7,2799
"Castro County, TX",48069,34.7,2799
"Dane, WI",55025,34.7,2799
"Crittenden County, AR",5035,34.7,2799
"Colusa County, CA",6011,34.7,2799
"Chatham County, GA",13051,34.6,2811
"Dougherty County, GA",13095,34.6,2811
"Twin Falls County, ID",16083,34.6,2811
"Daviess County, IN",18027,34.6,2811
"Ramsey County, MN",27123,34.6,2811
"Durham County, NC",37063,34.6,2811
"Orange County, FL",12095,34.5,2817
"Sunflower County, MS",28133,34.5,2817
"Phelps County, MO",29161,34.5,2817
"Hill County, MT",30041,34.5,2817
"Kings County, NY",36047,34.5,2817
"Stark County, ND",38089,34.5,2817
"Denton County, TX",48121,34.5,2817
"Dunn, WI",55033,34.5,2817
"Kendall County, IL",17093,34.4,2825
"Bailey County, TX",48017,34.4,2825
"Prince William County, VA",51153,34.4,2825
"Gunnison County, CO",8051,34.4,2825
"Hardee County, FL",12049,34.3,2829
"Baldwin County, GA",13009,34.3,2829
"Lamar County, MS",28073,34.3,2829
"Jackson County, OK",40065,34.3,2829
"Oklahoma County, OK",40109,34.3,2829
"Terry County, TX",48445,34.3,2829
"Ward County, TX",48475,34.3,2829
"Emery County, UT",49015,34.3,2829
"Rich County, UT",49033,34.3,2829
"Milwaukee, WI",55079,34.3,2829
"Lanier County, GA",13173,34.2,2839
"Lafayette Parish, LA",22055,34.2,2839
"Madison Parish, LA",22065,34.2,2839
"Lincoln County, SD",46083,34.2,2839
"Davidson County, TN",47037,34.2,2839
"Jim Wells County, TX",48249,34.2,2839
"Denver County, CO",8031,34.2,2839
"Carroll County, GA",13045,34.1,2846
"Marion County, IN",18097,34.1,2846
"Calloway County, KY",21035,34.1,2846
"Fayette County, KY",21067,34.1,2846
"Kalamazoo County, MI",26077,34.1,2846
"Stearns County, MN",27145,34.1,2846
"Dakota County, NE",31043,34.1,2846
"Dawes County, NE",31045,34.1,2846
"Douglas County, NE",31055,34.1,2846
"Tarrant County, TX",48439,34.1,2846
"Wichita County, TX",48485,34.1,2846
"Arlington County, VA",51013,34.1,2846
"Winona County, MN",27169,34,2858
"Hinds County, MS",28049,34,2858
"Blaine County, MT",30005,34,2858
"Dimmit County, TX",48127,34,2858
"Tom Green County, TX",48451,34,2858
"Eau Claire, WI",55035,34,2858
"Yuma County, AZ",4027,34,2858
"Weld County, CO",8123,34,2858
"Madison County, KY",21151,33.9,2866
"Coahoma County, MS",28027,33.9,2866
"Colfax County, NE",31037,33.9,2866
"Sarpy County, NE",31153,33.9,2866
"Franklin County, OH",39049,33.9,2866
"Philadelphia County, PA",42101,33.9,2866
"Craighead County, AR",5031,33.9,2866
"District of Columbia, DC",11001,33.8,2873
"Hendry County, FL",12051,33.8,2873
"Lincoln County, ID",16063,33.8,2873
"Holmes County, MS",28051,33.8,2873
"Cochran County, TX",48079,33.8,2873
"Titus County, TX",48449,33.8,2873
"Uvalde County, TX",48463,33.8,2873
"Sweetwater County, WY",56037,33.8,2873
"North Slope Borough, AK",2185,33.8,2873
"Stanislaus County, CA",6099,33.8,2873
"El Paso County, CO",8041,33.8,2873
"Adams County, IN",18001,33.7,2884
"Harnett County, NC",37085,33.7,2884
"Kittitas County, WA",53037,33.7,2884
"Monterey County, CA",6053,33.7,2884
"San Joaquin County, CA",6077,33.7,2884
"Santa Barbara County, CA",6083,33.7,2884
"Muscogee County, GA",13215,33.6,2890
"Coles County, IL",17029,33.6,2890
"Natchitoches Parish, LA",22069,33.6,2890
"Orange County, NC",37135,33.6,2890
"Woods County, OK",40151,33.6,2890
"Willacy County, TX",48489,33.6,2890
"Yoakum County, TX",48501,33.6,2890
"Clark County, AR",5019,33.6,2890
"Richmond County, GA",13245,33.5,2898
"Wyandotte County, KS",20209,33.5,2898
"Elko County, NV",32007,33.5,2898
"Childress County, TX",48075,33.5,2898
"Parmer County, TX",48369,33.5,2898
"Apache County, AZ",4001,33.5,2898
"Madera County, CA",6039,33.5,2898
"Washtenaw County, MI",26161,33.4,2905
"Beltrami County, MN",27007,33.4,2905
"Cleveland County, OK",40027,33.4,2905
"Hemphill County, TX",48211,33.4,2905
"Manassas Independent City, VA",51683,33.4,2905
"Sioux County, IA",19167,33.3,2910
"East Baton Rouge Parish, LA",22033,33.3,2910
"Bronx County, NY",36005,33.3,2910
"Potter County, TX",48375,33.3,2910
"Travis County, TX",48453,33.3,2910
"Greenlee County, AZ",4011,33.3,2910
"Adams County, CO",8001,33.3,2910
"St. Bernard Parish, LA",22087,33.2,2917
"Gallatin County, MT",30031,33.2,2917
"Bexar County, TX",48029,33.2,2917
"Dallas County, TX",48113,33.2,2917
"Oldham County, TX",48359,33.2,2917
"Wasatch County, UT",49051,33.2,2917
"Richmond Independent City, VA",51760,33.2,2917
"Crane County, TX",48103,33.1,2924
"Dawson County, TX",48115,33.1,2924
"La Salle County, TX",48283,33.1,2924
"Beaver County, UT",49001,33.1,2924
"Manassas Park Independent City, VA",51685,33.1,2924
"Bannock County, ID",16005,33,2929
"Bingham County, ID",16011,33,2929
"Canyon County, ID",16027,33,2929
"Houghton County, MI",26061,33,2929
"Claiborne County, MS",28021,33,2929
"Lancaster County, NE",31109,33,2929
"Mellette County, SD",46095,33,2929
"Borden County, TX",48033,33,2929
"Hockley County, TX",48219,33,2929
"McLennan County, TX",48309,33,2929
"Warren County, KY",21227,32.9,2939
"Stevens County, MN",27149,32.9,2939
"Richland County, SC",45079,32.9,2939
"Rutherford County, TN",47149,32.9,2939
"Harris County, TX",48201,32.9,2939
"Upton County, TX",48461,32.9,2939
"Newport News Independent City, VA",51700,32.9,2939
"Franklin County, ID",16041,32.8,2946
"Hamilton County, KS",20075,32.8,2946
"Lyon County, KS",20111,32.8,2946
"Leflore County, MS",28083,32.8,2946
"Campbell County, WY",56005,32.8,2946
"Anchorage Borough, AK",2020,32.8,2946
"Hale County, TX",48189,32.7,2952
"Kodiak Island Borough, AK",2150,32.7,2952
"San Bernardino County, CA",6071,32.7,2952
"Bonneville County, ID",16019,32.6,2955
"McLean County, IL",17113,32.6,2955
"Grant County, KS",20067,32.6,2955
"Clay County, MN",27027,32.6,2955
"Buffalo County, NE",31019,32.6,2955
"Dona Ana County, NM",35013,32.6,2955
"Benton County, OR",41003,32.6,2955
"Winkler County, TX",48495,32.6,2955
"Yakima County, WA",53077,32.6,2955
"Crawford County, KS",20037,32.5,2964
"Clayton County, GA",13063,32.4,2965
"Jerome County, ID",16053,32.4,2965
"Suffolk County, MA",25025,32.4,2965
"Tunica County, MS",28143,32.4,2965
"Graham County, AZ",4009,32.4,2965
"Morgan County, UT",49029,32.3,2970
"Grant County, WA",53025,32.3,2970
"Imperial County, CA",6025,32.2,2972
"Yuba County, CA",6115,32.2,2972
"Taylor County, TX",48441,32.1,2974
"Box Elder County, UT",49003,32.1,2974
"Salt Lake County, UT",49035,32.1,2974
"Weber County, UT",49057,32.1,2974
"Tuscaloosa County, AL",1125,32.1,2974
"Ellis County, KS",20051,32,2979
"Forrest County, MS",28035,32,2979
"Jefferson County, NY",36045,32,2979
"Cass County, ND",38017,32,2979
"Williams County, ND",38105,32,2979
"Comanche County, OK",40031,32,2979
"Texas County, OK",40139,32,2979
"Martin County, TX",48317,32,2979
"Midland County, TX",48329,31.9,2987
"Lake and Peninsula Borough, AK",2164,31.9,2987
"Faulkner County, AR",5045,31.9,2987
"Cassia County, ID",16031,31.8,2990
"Lea County, NM",35025,31.8,2990
"Long County, GA",13183,31.7,2992
"East Carroll Parish, LA",22035,31.7,2992
"Hoke County, NC",37093,31.7,2992
"Pitt County, NC",37147,31.7,2992
"Kenedy County, TX",48261,31.7,2992
"Ingham County, MI",26065,31.6,2997
"El Paso County, TX",48141,31.6,2997
"Frio County, TX",48163,31.6,2997
"Val Verde County, TX",48465,31.6,2997
"Fresno County, CA",6019,31.6,2997
"Camden County, GA",13039,31.5,3002
"Cumberland County, NC",37051,31.5,3002
"Brooks County, TX",48047,31.5,3002
"Prince Edward County, VA",51147,31.5,3002
"Jefferson County, ID",16051,31.4,3006
"Deaf Smith County, TX",48117,31.4,3006
"Washington County, AR",5143,31.4,3006
"Kings County, CA",6031,31.4,3006
"McKenzie County, ND",38053,31.3,3010
"Cameron County, TX",48061,31.3,3010
"Andrews County, TX",48003,31.2,3012
"Ochiltree County, TX",48357,31.2,3012
"Sanpete County, UT",49039,31.2,3012
"Pike County, AL",1109,31.2,3012
"Kern County, CA",6029,31.2,3012
"Elmore County, ID",16039,31.1,3017
"LaGrange County, IN",18087,31.1,3017
"Ford County, KS",20057,31.1,3017
"Glacier County, MT",30035,31.1,3017
"Ward County, ND",38101,31.1,3017
"Hays County, TX",48209,31.1,3017
"Moore County, TX",48341,31.1,3017
"Alachua County, FL",12001,31,3024
"Rowan County, KY",21205,31,3024
"Coryell County, TX",48099,31,3024
"Dallam County, TX",48111,31,3024
"Tooele County, UT",49045,30.9,3028
"Yolo County, CA",6113,30.9,3028
"Jackson County, IL",17077,30.8,3030
"Curry County, NM",35009,30.8,3030
"McKinley County, NM",35031,30.8,3030
"Benson County, ND",38005,30.8,3030
"Centre County, PA",42027,30.8,3030
"Menominee, WI",55078,30.8,3030
"McDonough County, IL",17109,30.7,3036
"Wayne County, NE",31179,30.7,3036
"Fairbanks North Star Borough, AK",2090,30.7,3036
"Coconino County, AZ",4005,30.7,3036
"Holmes County, OH",39075,30.6,3040
"Lubbock County, TX",48303,30.6,3040
"San Juan County, UT",49037,30.6,3040
"Monongalia County, WV",54061,30.6,3040
"Merced County, CA",6047,30.6,3040
"DeKalb County, IL",17037,30.5,3045
"Finney County, KS",20055,30.5,3045
"Blue Earth County, MN",27013,30.5,3045
"Custer County, OK",40039,30.5,3045
"Lee County, AL",1081,30.5,3045
"Bell County, TX",48027,30.4,3050
"Ector County, TX",48135,30.4,3050
"Nacogdoches County, TX",48347,30.4,3050
"Zavala County, TX",48507,30.4,3050
"Davis County, UT",49011,30.4,3050
"Tulare County, CA",6107,30.4,3050
"Leon County, FL",12073,30.3,3056
"Clark County, ID",16033,30.3,3056
"Boone County, MO",29019,30.3,3056
"Tompkins County, NY",36109,30.3,3056
"Rolette County, ND",38079,30.3,3056
"Montgomery County, TN",47125,30.3,3056
"Juab County, UT",49023,30.3,3056
"Charlottesville Independent City, VA",51540,30.3,3056
"Roosevelt County, MT",30085,30.2,3064
"Erath County, TX",48143,30.2,3064
"Duchesne County, UT",49013,30.2,3064
"Norfolk Independent City, VA",51710,30.2,3064
"Alamosa County, CO",8003,30.2,3064
"Vernon Parish, LA",22115,30.1,3069
"Watauga County, NC",37189,30.1,3069
"Big Horn County, MT",30003,30,3071
"Jackson County, SD",46071,30,3071
"Lowndes County, GA",13185,29.9,3073
"Johnson County, IA",19103,29.9,3073
"Johnson County, MO",29101,29.8,3075
"Uintah County, UT",49047,29.8,3075
"Roosevelt County, NM",35041,29.7,3077
"Corson County, SD",46031,29.7,3077
"Maverick County, TX",48323,29.7,3077
"Dillingham Borough, AK",2070,29.7,3077
"Champaign County, IL",17019,29.5,3081
"Grand Forks County, ND",38035,29.5,3081
"Fredericksburg Independent City, VA",51630,29.5,3081
"Bennett County, SD",46007,29.4,3084
"Zapata County, TX",48505,29.3,3085
"Franklin County, WA",53021,29.3,3085
"Seward County, KS",20175,29.2,3087
"Lafayette County, MS",28071,29.2,3087
"Douglas County, KS",20045,29.1,3089
"Hidalgo County, TX",48215,28.8,3090
"Waller County, TX",48473,28.8,3090
"Nodaway County, MO",29147,28.7,3092
"Starr County, TX",48427,28.7,3092
"Monroe County, IN",18105,28.6,3094
"Lynchburg Independent City, VA",51680,28.6,3094
"Adams County, WA",53001,28.6,3094
"Dewey County, SD",46041,28.5,3097
"Iron County, UT",49021,28.5,3097
"Thurston County, NE",31173,28.4,3099
"Gaines County, TX",48165,28.4,3099
"Latah County, ID",16057,28.3,3101
"Christian County, KY",21047,28.3,3101
"Ziebach County, SD",46137,28.3,3101
"Webb County, TX",48479,28.3,3101
"Athens County, OH",39009,28.2,3105
"Kleberg County, TX",48273,28,3106
"Tippecanoe County, IN",18157,27.9,3107
"Montgomery County, VA",51121,27.9,3107
"Adair County, MO",29001,27.7,3109
"Nome Borough, AK",2180,27.7,3109
"Bulloch County, GA",13031,27.4,3111
"Liberty County, GA",13179,27.4,3111
"Lincoln Parish, LA",22061,27.4,3111
"Payne County, OK",40119,27.1,3114
"Isabella County, MI",26073,27,3115
"Pulaski County, MO",29169,26.9,3116
"Sioux County, ND",38085,26.9,3116
"Clarke County, GA",13059,26.8,3118
"Bethel Borough, AK",2050,26.8,3118
"Albany County, WY",56001,26.6,3120
"Onslow County, NC",37133,26.4,3121
"Brookings County, SD",46011,26.3,3122
"Northwest Arctic Borough, AK",2188,26.3,3122
"Geary County, KS",20061,26.2,3124
"Story County, IA",19169,25.8,3125
"Brazos County, TX",48041,25.5,3126
"Oktibbeha County, MS",28105,25.2,3127
"Buffalo County, SD",46017,25.1,3128
"Cache County, UT",49005,25,3129
"Riley County, KS",20161,24.9,3130
"Clay County, SD",46027,24.9,3130
"Oglala Lakota, SD",46102,24.6,3132
"Utah County, UT",49049,24.4,3133
"Williamsburg Independent City, VA",51830,24.4,3133
"Todd County, SD",46121,24.3,3135
"Whitman County, WA",53075,24.2,3136
"Harrisonburg Independent City, VA",51660,24,3137
"Madison County, ID",16065,23.3,3138
"Chattahoochee County, GA",13053,23.1,3140
"Radford Independent City, VA",51750,22.7,3141
"Lexington Independent City, VA",51678,21.5,3142
