county,code,hs_rate,rank
"Coshocton County, OH",39031,85.70%,1822
"Douglas County, SD",46043,85.70%,1822
"Shenandoah County, VA",51171,85.70%,1822
"Tipton County, TN",47167,85.70%,1822
"Sullivan County, TN",47163,85.70%,1822
"Osceola County, FL",12097,85.70%,1822
"Woodbury County, IA",19193,85.70%,1822
"Atlantic County, NJ",34001,85.70%,1822
"Collier County, FL",12021,85.70%,1822
"Cherokee County, OK",40021,85.70%,1822
"Callaway County, MO",29027,85.70%,1822
"Orleans Parish, LA",22071,85.70%,1822
"Oceana County, MI",26127,85.70%,1822
"Shoshone County, ID",16079,85.70%,1822
"Marion County, IN",18097,85.70%,1822
"Nowata County, OK",40105,85.70%,1822
"Lawrence County, OH",39087,85.70%,1822
"Cass County, IL",17017,85.60%,1842
"Craig County, OK",40035,85.60%,1842
"Yolo County, CA",6113,85.60%,1842
"Newton County, MO",29145,85.60%,1842
"Brazos County, TX",48041,85.60%,1842
"Union County, IL",17181,85.60%,1842
"Cheatham County, TN",47021,85.60%,1842
"Catoosa County, GA",13047,85.60%,1842
"Greene County, IN",18055,85.60%,1842
"Rabun County, GA",13241,85.60%,1842
"Muskogee County, OK",40101,85.50%,1852
"Franklin County, TX",48159,85.50%,1852
"Berks County, PA",42011,85.50%,1852
"Miller County, AR",5091,85.50%,1852
"Pender County, NC",37141,85.50%,1852
"Montgomery County, AL",1101,85.50%,1852
"St. James Parish, LA",22093,85.50%,1852
"Washington County, IN",18175,85.50%,1852
"Meade County, KS",20119,85.50%,1852
"Anderson County, TN",47001,85.50%,1852
"Aiken County, SC",45003,85.50%,1852
"Seneca County, NY",36099,85.50%,1852
"King and Queen County, VA",51097,85.50%,1852
"Parke County, IN",18121,85.50%,1852
"Davie County, NC",37059,85.50%,1852
"Hopkins County, KY",21107,85.50%,1852
"Calcasieu Parish, LA",22019,85.40%,1868
"Pasquotank County, NC",37139,85.40%,1868
"Ashtabula County, OH",39007,85.40%,1868
"Wayne County, OH",39169,85.40%,1868
"Coffee County, TN",47031,85.40%,1868
"Graham County, AZ",4009,85.40%,1868
"Campbell County, VA",51031,85.40%,1868
"Franklin County, VA",51067,85.40%,1868
"Ziebach County, SD",46137,85.40%,1868
"Hampden County, MA",25013,85.40%,1868
"Franklin County, NY",36033,85.40%,1868
"Sabine County, TX",48403,85.40%,1868
"Coke County, TX",48081,85.30%,1880
"Gates County, NC",37073,85.30%,1880
"Bates County, MO",29013,85.30%,1880
"Franklin County, TN",47051,85.30%,1880
"Loudon County, TN",47105,85.30%,1880
"Crawford County, AR",5033,85.30%,1880
"Harrison County, MO",29081,85.30%,1880
"Childress County, TX",48075,85.30%,1880
"Brown County, OH",39015,85.30%,1880
"Greene County, AR",5055,85.30%,1880
"Tarrant County, TX",48439,85.20%,1890
"Union Parish, LA",22111,85.20%,1890
"Lincoln County, CO",8073,85.20%,1890
"Roanoke Independent City, VA",51770,85.20%,1890
"Webster County, MS",28155,85.20%,1890
"Benton County, MO",29015,85.20%,1890
"Putnam County, TN",47141,85.20%,1890
"Yates County, NY",36123,85.20%,1890
"Bleckley County, GA",13023,85.20%,1890
"Union County, PA",42119,85.20%,1890
"Columbia County, AR",5027,85.20%,1890
"Ogemaw County, MI",26129,85.20%,1890
"Giles County, VA",51071,85.20%,1890
"Lubbock County, TX",48303,85.10%,1903
"Lincoln County, OK",40081,85.10%,1903
"Brown County, TX",48049,85.10%,1903
"Coffee County, AL",1031,85.10%,1903
"Gladwin County, MI",26051,85.10%,1903
"Wood County, TX",48499,85.10%,1903
"Wayne County, MI",26163,85.10%,1903
"Marion County, OR",41047,85.10%,1903
"Miami County, IN",18103,85.10%,1903
"Peach County, GA",13225,85.10%,1903
"Harrisonburg Independent City, VA",51660,85.10%,1903
"Blaine County, OK",40011,85.00%,1914
"Dorchester County, MD",24019,85.00%,1914
"Lexington Independent City, VA",51678,85.00%,1914
"Ouachita Parish, LA",22073,85.00%,1914
"Westmoreland County, VA",51193,85.00%,1914
"Boone County, AR",5009,85.00%,1914
"Benson County, ND",38005,85.00%,1914
"Massac County, IL",17127,85.00%,1914
"Johnston County, NC",37101,85.00%,1914
"Conway County, AR",5029,85.00%,1914
"Lyon County, NV",32019,85.00%,1914
"Nome Borough, AK",2180,84.90%,1925
"Pinal County, AZ",4021,84.90%,1925
"Walton County, FL",12131,84.90%,1925
"Dewey County, SD",46041,84.90%,1925
"Wilson County, TX",48493,84.90%,1925
"Perquimans County, NC",37143,84.90%,1925
"Perry County, IL",17145,84.90%,1925
"Houston County, AL",1069,84.90%,1925
"Portsmouth Independent City, VA",51740,84.90%,1925
"Watonwan County, MN",27165,84.90%,1925
"Union County, KY",21225,84.90%,1925
"Hutchinson County, TX",48233,84.90%,1925
"Clark County, NV",32003,84.90%,1925
"Jessamine County, KY",21113,84.90%,1925
"Lauderdale County, AL",1077,84.90%,1925
"Roosevelt County, MT",30085,84.90%,1925
"Fulton County, IN",18049,84.90%,1925
"Covington Independent City, VA",51580,84.90%,1925
"Miller County, MO",29131,84.90%,1925
"Emmons County, ND",38029,84.80%,1944
"Oldham County, TX",48359,84.80%,1944
"Gibson County, TN",47053,84.80%,1944
"Weakley County, TN",47183,84.80%,1944
"Suffolk County, MA",25025,84.80%,1944
"Wells County, ND",38103,84.80%,1944
"Kosciusko County, IN",18085,84.80%,1944
"Pocahontas County, WV",54075,84.80%,1944
"Rapides Parish, LA",22079,84.70%,1952
"Florence County, SC",45041,84.70%,1952
"Stanly County, NC",37167,84.70%,1952
"Howell County, MO",29091,84.70%,1952
"Wayne County, IN",18177,84.70%,1952
"Mason County, WV",54053,84.70%,1952
"Nye County, NV",32023,84.70%,1952
"Alamance County, NC",37001,84.70%,1952
"Mercer County, KY",21167,84.70%,1952
"Pendleton County, KY",21191,84.70%,1952
"Irwin County, GA",13155,84.70%,1952
"Marshall County, IA",19127,84.70%,1952
"Person County, NC",37145,84.70%,1952
"Noble County, IN",18113,84.70%,1952
"Essex County, NJ",34013,84.70%,1952
"Jefferson Parish, LA",22051,84.70%,1952
"Smith County, TX",48423,84.70%,1952
"Garvin County, OK",40049,84.70%,1952
"Hoke County, NC",37093,84.60%,1970
"White County, GA",13311,84.60%,1970
"Beaufort County, NC",37013,84.60%,1970
"Kiowa County, OK",40075,84.60%,1970
"Wise County, TX",48497,84.60%,1970
"Scott County, IN",18143,84.60%,1970
"Rush County, IN",18139,84.60%,1970
"Lancaster County, PA",42071,84.60%,1970
"Ellis County, TX",48139,84.60%,1970
"Saline County, MO",29195,84.60%,1970
"Searcy County, AR",5129,84.60%,1970
"St. Louis City County, MO",29510,84.50%,1981
"Leon County, TX",48289,84.50%,1981
"Kaufman County, TX",48257,84.50%,1981
"Jennings County, IN",18079,84.50%,1981
"Orange County, CA",6059,84.50%,1981
"Audrain County, MO",29007,84.50%,1981
"Beckham County, OK",40009,84.50%,1981
"Clark County, KY",21049,84.50%,1981
"Lamar County, TX",48277,84.50%,1981
"Independence County, AR",5063,84.50%,1981
"Montgomery County, NY",36057,84.50%,1981
"Eddy County, NM",35015,84.50%,1981
"Guernsey County, OH",39059,84.50%,1981
"Cimarron County, OK",40025,84.50%,1981
"Randolph County, IL",17157,84.50%,1981
"Marshall County, IN",18099,84.50%,1981
"Delaware County, OK",40041,84.50%,1981
"Shackelford County, TX",48417,84.50%,1981
"Beauregard Parish, LA",22011,84.50%,1981
"Alleghany County, VA",51005,84.50%,1981
"Tyler County, TX",48457,84.40%,2001
"Lowndes County, GA",13185,84.40%,2001
"Cedar County, MO",29039,84.40%,2001
"Logan County, ND",38047,84.40%,2001
"Martin County, IN",18101,84.40%,2001
"Newton County, GA",13217,84.40%,2001
"Aleutians East Borough, AK",2013,84.40%,2001
"Raleigh County, WV",54081,84.30%,2008
"Van Buren County, AR",5141,84.30%,2008
"Hancock County, MS",28045,84.30%,2008
"Henry County, TN",47079,84.30%,2008
"Bibb County, GA",13021,84.30%,2008
"Jefferson County, AR",5069,84.30%,2008
"Owen County, IN",18119,84.30%,2008
"Gila County, AZ",4007,84.30%,2008
"McIntosh County, OK",40091,84.30%,2008
"Panola County, TX",48365,84.30%,2008
"Essex County, VT",50009,84.30%,2008
"Polk County, AR",5113,84.30%,2008
"Orangeburg County, SC",45075,84.30%,2008
"Jackson County, OH",39079,84.20%,2021
"Chowan County, NC",37041,84.20%,2021
"Lumpkin County, GA",13187,84.20%,2021
"Adams County, IN",18001,84.20%,2021
"Bent County, CO",8011,84.20%,2021
"Lancaster County, SC",45057,84.20%,2021
"Rio Arriba County, NM",35039,84.20%,2021
"Pickens County, SC",45077,84.20%,2021
"Monroe County, GA",13207,84.20%,2021
"Trigg County, KY",21221,84.20%,2021
"Cherokee County, NC",37039,84.20%,2021
"Franklin County, MS",28037,84.20%,2021
"Washington County, AR",5143,84.20%,2021
"San Juan County, UT",49037,84.20%,2021
"Beaver County, OK",40007,84.20%,2021
"Latimer County, OK",40077,84.10%,2036
"Lowndes County, MS",28087,84.10%,2036
"Pulaski County, VA",51155,84.10%,2036
"Jay County, IN",18075,84.10%,2036
"Canyon County, ID",16027,84.10%,2036
"Scioto County, OH",39145,84.10%,2036
"Moultrie County, IL",17139,84.10%,2036
"Toole County, MT",30101,84.10%,2036
"Nash County, NC",37127,84.10%,2036
"Daviess County, MO",29061,84.10%,2036
"Washington County, VA",51191,84.10%,2036
"Highland County, VA",51091,84.10%,2036
"Clare County, MI",26035,84.10%,2036
"Lawrence County, MO",29109,84.10%,2036
"Jackson County, TX",48239,84.10%,2036
"Noble County, OH",39121,84.10%,2036
"Taylor County, KY",21217,84.10%,2036
"Putnam County, GA",13237,84.10%,2036
"Larue County, KY",21123,84.10%,2036
"Simpson County, KY",21213,84.00%,2055
"Bourbon County, KY",21017,84.00%,2055
"White County, AR",5145,84.00%,2055
"Marshall County, TN",47117,84.00%,2055
"Chester County, TN",47023,84.00%,2055
"Richmond Independent City, VA",51760,84.00%,2055
"Mono County, CA",6051,84.00%,2055
"Lamar County, GA",13171,84.00%,2055
"Polk County, FL",12105,84.00%,2055
"Douglas County, IL",17041,84.00%,2055
"Conejos County, CO",8021,84.00%,2055
"Meigs County, OH",39105,84.00%,2055
"Rolette County, ND",38079,84.00%,2055
"Erath County, TX",48143,83.90%,2068
"Izard County, AR",5065,83.90%,2068
"Lake County, OR",41037,83.90%,2068
"Lincoln County, NC",37109,83.90%,2068
"Anderson County, SC",45007,83.90%,2068
"Fulton County, AR",5049,83.90%,2068
"Perry County, OH",39127,83.90%,2068
"Livingston Parish, LA",22063,83.90%,2068
"Napa County, CA",6055,83.90%,2068
"Ashley County, AR",5003,83.90%,2068
"Jefferson County, OK",40067,83.90%,2068
"Highland County, OH",39071,83.90%,2068
"Calhoun County, SC",45017,83.90%,2068
"Upshur County, WV",54097,83.90%,2068
"Rowan County, NC",37159,83.90%,2068
"Marengo County, AL",1091,83.90%,2068
"Mohave County, AZ",4015,83.90%,2068
"Greenbrier County, WV",54025,83.80%,2085
"Ottawa County, OK",40115,83.80%,2085
"Washington County, ID",16087,83.80%,2085
"McLennan County, TX",48309,83.80%,2085
"Alamosa County, CO",8003,83.80%,2085
"West Baton Rouge Parish, LA",22121,83.80%,2085
"White Pine County, NV",32033,83.80%,2085
"Sullivan County, MO",29211,83.80%,2085
"Johnson County, TX",48251,83.80%,2085
"Carroll County, AR",5015,83.80%,2085
"Seminole County, OK",40133,83.80%,2085
"Chambers County, TX",48071,83.80%,2085
"Montgomery County, MO",29139,83.80%,2085
"Ozark County, MO",29153,83.80%,2085
"Union County, AR",5139,83.70%,2099
"McLean County, KY",21149,83.70%,2099
"Bristol County, MA",25005,83.70%,2099
"Gregg County, TX",48183,83.70%,2099
"Lake County, CA",6033,83.70%,2099
"Martin County, NC",37117,83.70%,2099
"Oconee County, SC",45073,83.70%,2099
"Otero County, NM",35035,83.70%,2099
"Jefferson County, TN",47089,83.70%,2099
"Trinity County, TX",48455,83.70%,2099
"Nicholas County, WV",54067,83.70%,2099
"Troup County, GA",13285,83.60%,2110
"Spartanburg County, SC",45083,83.60%,2110
"Dickson County, TN",47043,83.60%,2110
"Culpeper County, VA",51047,83.60%,2110
"Louisa County, VA",51109,83.60%,2110
"Victoria County, TX",48469,83.60%,2110
"Pearl River County, MS",28109,83.60%,2110
"Saline County, NE",31151,83.60%,2110
"Richmond County, GA",13245,83.60%,2110
"Appomattox County, VA",51011,83.60%,2110
"Cumberland County, TN",47035,83.60%,2110
"Colleton County, SC",45029,83.60%,2110
"Clayton County, GA",13063,83.60%,2110
"Oregon County, MO",29149,83.60%,2110
"Surry County, VA",51181,83.60%,2110
"Bristol Independent City, VA",51520,83.60%,2110
"Moniteau County, MO",29135,83.60%,2110
"Newton County, MS",28101,83.50%,2127
"Cleveland County, NC",37045,83.50%,2127
"Kit Carson County, CO",8063,83.50%,2127
"Mellette County, SD",46095,83.50%,2127
"Sevier County, TN",47155,83.50%,2127
"Jefferson County, OR",41031,83.50%,2127
"San Juan County, NM",35045,83.50%,2127
"Greene County, VA",51079,83.50%,2127
"Winchester Independent City, VA",51840,83.50%,2127
"St. Clair County, AL",1115,83.50%,2127
"Natchitoches Parish, LA",22069,83.50%,2127
"Preston County, WV",54077,83.50%,2127
"Floyd County, VA",51063,83.50%,2127
"Cameron Parish, LA",22023,83.50%,2127
"Pope County, AR",5115,83.50%,2127
"Bradley County, TN",47011,83.50%,2127
"Quay County, NM",35037,83.50%,2127
"Owen County, KY",21187,83.50%,2127
"Baltimore City County, MD",24510,83.50%,2127
"Midland County, TX",48329,83.40%,2146
"Dallas County, AR",5039,83.40%,2146
"Ventura County, CA",6111,83.40%,2146
"Bexar County, TX",48029,83.40%,2146
"Colbert County, AL",1033,83.40%,2146
"Yancey County, NC",37199,83.40%,2146
"Lincoln County, GA",13181,83.40%,2146
"Caroline County, VA",51033,83.40%,2146
"Upshur County, TX",48459,83.40%,2146
"Hudson County, NJ",34017,83.40%,2146
"Morgan County, GA",13211,83.40%,2146
"Beadle County, SD",46005,83.40%,2146
"Catawba County, NC",37035,83.40%,2146
"Elko County, NV",32007,83.40%,2146
"Rio Grande County, CO",8105,83.40%,2146
"Johnson County, IL",17087,83.40%,2146
"Lee County, MS",28081,83.40%,2146
"Stevens County, KS",20189,83.30%,2163
"Orange County, IN",18117,83.30%,2163
"Cleburne County, AR",5023,83.30%,2163
"Ashe County, NC",37009,83.30%,2163
"Lincoln County, TN",47103,83.30%,2163
"Wirt County, WV",54105,83.30%,2163
"Caroline County, MD",24011,83.30%,2163
"Giles County, TN",47055,83.30%,2163
"Highlands County, FL",12055,83.30%,2163
"Randolph County, AR",5121,83.30%,2163
"Baraga County, MI",26013,83.30%,2163
"Tom Green County, TX",48451,83.30%,2163
"Jefferson County, TX",48245,83.30%,2163
"Providence County, RI",44007,83.20%,2176
"Cannon County, TN",47015,83.20%,2176
"Pickens County, GA",13227,83.20%,2176
"Calhoun County, AR",5013,83.20%,2176
"Sharp County, AR",5135,83.20%,2176
"Dyer County, TN",47045,83.20%,2176
"Aransas County, TX",48007,83.20%,2176
"Trimble County, KY",21223,83.20%,2176
"Camden County, NC",37029,83.20%,2176
"Jasper County, MS",28061,83.20%,2176
"Gaston County, NC",37071,83.20%,2176
"Hall County, NE",31079,83.20%,2176
"Love County, OK",40085,83.20%,2176
"Butler County, MO",29023,83.20%,2176
"Franklin County, NC",37069,83.20%,2176
"McMinn County, TN",47107,83.20%,2176
"Bracken County, KY",21023,83.20%,2176
"Edwards County, KS",20047,83.20%,2176
"Curry County, NM",35009,83.20%,2176
"Hardin County, IL",17069,83.20%,2176
"Limestone County, AL",1083,83.20%,2176
"Humphreys County, TN",47085,83.20%,2176
"Nevada County, AR",5099,83.10%,2198
"Mills County, TX",48333,83.10%,2198
"Kane County, IL",17089,83.10%,2198
"Oscoda County, MI",26135,83.10%,2198
"Pettis County, MO",29159,83.10%,2198
"Kimble County, TX",48267,83.10%,2198
"Wetzel County, WV",54103,83.10%,2198
"Mifflin County, PA",42087,83.10%,2198
"Prince Edward County, VA",51147,83.10%,2198
"Fannin County, TX",48147,83.00%,2207
"Mercer County, WV",54055,83.00%,2207
"Scott County, MO",29201,83.00%,2207
"Wayne County, NC",37191,83.00%,2207
"Fannin County, GA",13111,83.00%,2207
"Piute County, UT",49031,83.00%,2207
"Lavaca County, TX",48285,83.00%,2207
"St. John the Baptist Parish, LA",22095,83.00%,2207
"Obion County, TN",47131,82.90%,2215
"Henderson County, TX",48213,82.90%,2215
"Bienville Parish, LA",22013,82.90%,2215
"Coal County, OK",40029,82.90%,2215
"Lander County, NV",32015,82.90%,2215
"Tehama County, CA",6103,82.90%,2215
"Snyder County, PA",42109,82.90%,2215
"Yukon-Koyukuk Borough, AK",2290,82.90%,2215
"Laurens County, GA",13175,82.90%,2215
"Starke County, IN",18149,82.90%,2215
"Morgan County, WV",54065,82.90%,2215
"Crowley County, CO",8025,82.80%,2226
"Sierra County, NM",35051,82.80%,2226
"Cass County, IN",18017,82.80%,2226
"Fisher County, TX",48151,82.80%,2226
"Stone County, MS",28131,82.80%,2226
"Summers County, WV",54089,82.80%,2226
"Murray County, OK",40099,82.80%,2226
"Randolph County, WV",54083,82.80%,2226
"Harrison County, TX",48203,82.80%,2226
"Scotland County, MO",29199,82.80%,2226
"Eastland County, TX",48133,82.80%,2226
"Logan County, AR",5083,82.80%,2226
"Norton Independent City, VA",51720,82.80%,2226
"Mason County, KY",21161,82.80%,2226
"Madison County, GA",13195,82.80%,2226
"San Jacinto County, TX",48407,82.80%,2226
"Amherst County, VA",51009,82.70%,2242
"Hunt County, TX",48231,82.70%,2242
"Sumter County, SC",45085,82.70%,2242
"Somervell County, TX",48425,82.70%,2242
"Pulaski County, IL",17153,82.70%,2242
"Switzerland County, IN",18155,82.70%,2242
"Madison County, FL",12079,82.70%,2242
"Gilchrist County, FL",12041,82.70%,2242
"Louisa County, IA",19115,82.70%,2242
"Crawford County, IN",18025,82.70%,2242
"Palo Pinto County, TX",48363,82.70%,2242
"Wilkinson County, GA",13319,82.70%,2242
"Smith County, TN",47159,82.70%,2242
"Prowers County, CO",8099,82.60%,2255
"Chelan County, WA",53007,82.60%,2255
"Philadelphia County, PA",42101,82.60%,2255
"Umatilla County, OR",41059,82.60%,2255
"Maries County, MO",29125,82.60%,2255
"Washington County, TX",48477,82.60%,2255
"Lewis County, TN",47101,82.60%,2255
"Robertson County, TX",48395,82.60%,2255
"Coleman County, TX",48083,82.60%,2255
"Russell County, AL",1113,82.60%,2255
"Southampton County, VA",51175,82.60%,2255
"Walker County, TX",48471,82.60%,2255
"Henry County, KY",21103,82.60%,2255
"Smyth County, VA",51173,82.60%,2255
"Gulf County, FL",12045,82.50%,2269
"Livingston County, KY",21139,82.50%,2269
"Arkansas County, AR",5001,82.50%,2269
"Fayette County, IL",17051,82.50%,2269
"Morgan County, AL",1103,82.50%,2269
"Medina County, TX",48325,82.50%,2269
"Greenwood County, SC",45047,82.50%,2269
"Passaic County, NJ",34031,82.50%,2269
"Madison County, NC",37115,82.50%,2269
"Sebastian County, AR",5131,82.50%,2269
"Grant County, KY",21081,82.50%,2269
"Jackson County, OK",40065,82.50%,2269
"Sabine Parish, LA",22085,82.50%,2269
"Manassas Park Independent City, VA",51685,82.50%,2269
"Etowah County, AL",1055,82.50%,2269
"Hopkins County, TX",48223,82.40%,2284
"Austin County, TX",48015,82.40%,2284
"McDowell County, NC",37111,82.40%,2284
"East Feliciana Parish, LA",22037,82.40%,2284
"Houston County, TX",48225,82.40%,2284
"McIntosh County, GA",13191,82.40%,2284
"Prairie County, AR",5117,82.40%,2284
"Humboldt County, NV",32013,82.40%,2284
"Juniata County, PA",42067,82.40%,2284
"Davidson County, NC",37057,82.40%,2284
"Greene County, GA",13133,82.30%,2294
"Clay County, GA",13061,82.30%,2294
"Calhoun County, AL",1015,82.30%,2294
"Van Zandt County, TX",48467,82.30%,2294
"Decatur County, TN",47039,82.30%,2294
"Bosque County, TX",48035,82.30%,2294
"Torrance County, NM",35057,82.30%,2294
"Lee County, TX",48287,82.30%,2294
"Okanogan County, WA",53047,82.30%,2294
"Harrison County, KY",21097,82.20%,2303
"Pittsylvania County, VA",51143,82.20%,2303
"Perry County, AR",5105,82.20%,2303
"Wythe County, VA",51197,82.20%,2303
"Washington County, KY",21229,82.20%,2303
"Stokes County, NC",37169,82.20%,2303
"St. Francois County, MO",29187,82.20%,2303
"Hamilton County, TX",48193,82.20%,2303
"Pushmataha County, OK",40127,82.20%,2303
"Adams County, CO",8001,82.20%,2303
"White County, TN",47185,82.20%,2303
"Dougherty County, GA",13095,82.20%,2303
"Cullman County, AL",1043,82.20%,2303
"Yuba County, CA",6115,82.20%,2303
"Del Norte County, CA",6015,82.20%,2303
"Montague County, TX",48337,82.10%,2318
"Wayne County, GA",13305,82.10%,2318
"Fairfield County, SC",45039,82.10%,2318
"Baker County, FL",12003,82.10%,2318
"Essex County, VA",51057,82.10%,2318
"Lake County, MI",26085,82.10%,2318
"Texas County, MO",29215,82.10%,2318
"Hartley County, TX",48205,82.10%,2318
"Seminole County, GA",13253,82.10%,2318
"Montgomery County, GA",13209,82.00%,2327
"Barry County, MO",29009,82.00%,2327
"Rockingham County, VA",51165,82.00%,2327
"Barrow County, GA",13013,82.00%,2327
"Harper County, OK",40059,82.00%,2327
"Monroe County, AL",1099,82.00%,2327
"Pierce County, GA",13229,82.00%,2327
"Hawkins County, TN",47073,82.00%,2327
"Ritchie County, WV",54085,81.90%,2335
"Thomas County, GA",13275,81.90%,2335
"Levy County, FL",12075,81.90%,2335
"Greene County, TN",47059,81.90%,2335
"Rains County, TX",48379,81.90%,2335
"Cassia County, ID",16031,81.90%,2335
"Sequatchie County, TN",47153,81.80%,2341
"Colorado County, TX",48089,81.80%,2341
"St. Bernard Parish, LA",22087,81.80%,2341
"Le Flore County, OK",40079,81.80%,2341
"Atoka County, OK",40005,81.80%,2341
"Laclede County, MO",29105,81.80%,2341
"Carlisle County, KY",21039,81.80%,2341
"Crittenden County, AR",5035,81.80%,2341
"Hickory County, MO",29085,81.80%,2341
"San Miguel County, NM",35047,81.80%,2341
"Grant County, WV",54023,81.70%,2351
"Barren County, KY",21009,81.70%,2351
"Lawrence County, AR",5075,81.70%,2351
"Montgomery County, KY",21173,81.70%,2351
"Fayette County, WV",54019,81.70%,2351
"Jackson County, GA",13157,81.70%,2351
"Benton County, TN",47005,81.70%,2351
"Ware County, GA",13299,81.70%,2351
"Shannon County, MO",29203,81.70%,2351
"Valencia County, NM",35061,81.70%,2351
"Graves County, KY",21083,81.70%,2351
"Fayette County, TX",48149,81.70%,2351
"Mitchell County, NC",37121,81.70%,2351
"Baldwin County, GA",13009,81.70%,2351
"Drew County, AR",5043,81.70%,2351
"Young County, TX",48503,81.60%,2366
"Corson County, SD",46031,81.60%,2366
"Clark, WI",55019,81.60%,2366
"McCurtain County, OK",40089,81.60%,2366
"Granville County, NC",37077,81.60%,2366
"Bartow County, GA",13015,81.60%,2366
"McIntosh County, ND",38051,81.60%,2366
"Sequoyah County, OK",40135,81.50%,2373
"Manassas Independent City, VA",51683,81.50%,2373
"Navajo County, AZ",4017,81.50%,2373
"Dodge County, GA",13091,81.50%,2373
"Choctaw County, MS",28019,81.50%,2373
"Jones County, NC",37103,81.50%,2373
"Hamblen County, TN",47063,81.50%,2373
"Pike County, AR",5109,81.40%,2380
"Dallas County, MO",29059,81.40%,2380
"McMullen County, TX",48311,81.40%,2380
"Lassen County, CA",6035,81.40%,2380
"Hale County, AL",1065,81.40%,2380
"Alcorn County, MS",28003,81.40%,2380
"Tangipahoa Parish, LA",22105,81.40%,2380
"Monroe County, WV",54063,81.40%,2380
"Smith County, MS",28129,81.30%,2388
"Carter County, TN",47019,81.30%,2388
"Nueces County, TX",48355,81.30%,2388
"Cherokee County, AL",1019,81.30%,2388
"De Soto Parish, LA",22031,81.30%,2388
"Amelia County, VA",51007,81.30%,2388
"Fayette County, IN",18041,81.20%,2394
"Nacogdoches County, TX",48347,81.20%,2394
"Tift County, GA",13277,81.20%,2394
"Franklin Independent City, VA",51620,81.20%,2394
"Camp County, TX",48063,81.20%,2394
"Ben Hill County, GA",13017,81.20%,2394
"Hamilton County, KS",20075,81.20%,2394
"Buena Vista Independent City, VA",51530,81.20%,2394
"Franklin County, AR",5047,81.10%,2402
"St. Clair County, MO",29185,81.10%,2402
"Dinwiddie County, VA",51053,81.10%,2402
"Rockingham County, NC",37157,81.10%,2402
"Barbour County, WV",54001,81.10%,2402
"Carroll County, GA",13045,81.10%,2402
"Pickens County, AL",1107,81.10%,2402
"Stephens County, GA",13257,81.10%,2402
"Douglas County, WA",53017,81.10%,2402
"Freestone County, TX",48161,81.10%,2402
"Stanton County, KS",20187,81.10%,2402
"Screven County, GA",13251,81.10%,2402
"Butler County, AL",1013,81.10%,2402
"Clarke County, AL",1025,81.00%,2415
"Alleghany County, NC",37005,81.00%,2415
"Rowan County, KY",21205,81.00%,2415
"Braxton County, WV",54007,81.00%,2415
"Webster Parish, LA",22119,81.00%,2415
"Rutherford County, NC",37161,81.00%,2415
"Johnston County, OK",40069,81.00%,2415
"Morgan County, CO",8087,81.00%,2415
"Grant Parish, LA",22043,81.00%,2415
"Pendleton County, WV",54071,81.00%,2415
"Lee County, NC",37105,81.00%,2415
"Covington County, AL",1039,80.90%,2426
"Hopewell Independent City, VA",51670,80.90%,2426
"Hart County, GA",13147,80.90%,2426
"Schley County, GA",13249,80.90%,2426
"Bethel Borough, AK",2050,80.90%,2426
"Unicoi County, TN",47171,80.90%,2426
"Darlington County, SC",45031,80.90%,2426
"Wichita County, KS",20203,80.90%,2426
"Pulaski County, KY",21199,80.90%,2426
"Charlton County, GA",13049,80.90%,2426
"Carroll County, MS",28015,80.80%,2436
"Saguache County, CO",8109,80.80%,2436
"Vinton County, OH",39163,80.80%,2436
"McCormick County, SC",45065,80.80%,2436
"Iron County, MO",29093,80.80%,2436
"Foard County, TX",48155,80.80%,2436
"Haywood County, TN",47075,80.80%,2436
"Forest County, PA",42053,80.80%,2436
"Adams County, MS",28001,80.80%,2436
"Perry County, MS",28111,80.70%,2445
"Scurry County, TX",48415,80.70%,2445
"Columbus County, NC",37047,80.70%,2445
"Bibb County, AL",1007,80.70%,2445
"Marion County, KY",21155,80.70%,2445
"Henry County, AL",1067,80.70%,2445
"Red River Parish, LA",22081,80.70%,2445
"McNairy County, TN",47109,80.70%,2445
"Queens County, NY",36081,80.70%,2445
"Cross County, AR",5037,80.70%,2445
"Miami-Dade County, FL",12086,80.60%,2455
"Jeff Davis County, TX",48243,80.60%,2455
"Alexander County, NC",37003,80.60%,2455
"Hyde County, NC",37095,80.60%,2455
"Bastrop County, TX",48021,80.60%,2455
"King County, TX",48269,80.60%,2455
"Throckmorton County, TX",48447,80.60%,2455
"Richmond County, VA",51159,80.60%,2455
"Choctaw County, OK",40023,80.60%,2455
"Gilmer County, WV",54021,80.50%,2464
"Crawford County, GA",13079,80.50%,2464
"San Augustine County, TX",48405,80.50%,2464
"Calhoun County, TX",48057,80.50%,2464
"Polk County, TX",48373,80.50%,2464
"Swisher County, TX",48437,80.50%,2464
"Elkhart County, IN",18039,80.50%,2464
"Gallia County, OH",39053,80.50%,2464
"Accomack County, VA",51001,80.50%,2464
"Riverside County, CA",6065,80.50%,2464
"Jones County, MS",28067,80.50%,2464
"Van Buren County, TN",47175,80.50%,2464
"Macon County, AL",1087,80.50%,2464
"Bedford County, TN",47003,80.50%,2464
"Pulaski County, GA",13235,80.50%,2464
"Escambia County, AL",1053,80.50%,2464
"Plaquemines Parish, LA",22075,80.40%,2480
"Red River County, TX",48387,80.40%,2480
"Stoddard County, MO",29207,80.40%,2480
"Grainger County, TN",47057,80.40%,2480
